dependency_bigram,head_dep,child_dep,pre_count,post_count,pre_proportion,post_proportion,proportion_change,abs_proportion_change,relative_change_pct
ccomp->nsubjpass,ccomp,nsubjpass,6766.0,2952.0,0.001618662997761001,0.001095074908020385,-0.0005235880897406162,0.0005235880897406162,-32.34694871414643
relcl->aux,relcl,aux,11728.0,6223.0,0.002805746325412507,0.0023084861628085555,-0.0004972601626039514,0.0004972601626039514,-17.722919499176143
xcomp->dobj,xcomp,dobj,23677.0,13977.0,0.00566436355276193,0.005184912598035543,-0.00047945095472638755,0.00047945095472638755,-8.464339378297998
amod->conj,amod,conj,15788.0,11435.0,0.0037770398180092648,0.004241931427240211,0.00046489160923094634,0.00046489160923094634,12.308358704991708
appos->det,appos,det,5373.0,4709.0,0.0012854088511631478,0.0017468522160799433,0.00046144336491679553,0.00046144336491679553,35.89856756465012
ROOT->attr,ROOT,attr,12499.0,6863.0,0.0029901963950657333,0.002545900777013517,-0.0004442956180522161,0.0004442956180522161,-14.858409259852284
pobj->compound,pobj,compound,139787.0,91325.0,0.03344192203192685,0.03387795256604392,0.00043603053411707393,0.00043603053411707393,1.3038441202655684
acl->dobj,acl,dobj,17836.0,12612.0,0.004266992791614722,0.004678551741176523,0.00041155894956180095,0.00041155894956180095,9.645175646196911
conj->det,conj,det,11684.0,6427.0,0.002795219991995202,0.002384162071086387,-0.00041105792090881475,0.00041105792090881475,-14.705744881833269
amod->cc,amod,cc,14914.0,10724.0,0.003567948558765529,0.003978178629271886,0.00041023007050635697,0.00041023007050635697,11.497645320544981
relcl->dobj,relcl,dobj,21056.0,14670.0,0.005037329009881117,0.005441988109979352,0.0004046591000982352,0.0004046591000982352,8.033207664309092
cc->advmod,cc,advmod,6377.0,3044.0,0.0015256006409580113,0.0011292032588123481,-0.00039639738214566314,0.00039639738214566314,-25.98303720538179
poss->case,poss,case,5181.0,4379.0,0.0012394757598876362,0.00162443530563051,0.0003849595457428739,0.0003849595457428739,31.058255288330294
xcomp->prep,xcomp,prep,10186.0,5552.0,0.002436846186106053,0.002059571778228041,-0.0003772744078780121,0.0003772744078780121,-15.482077204096168
ccomp->acomp,ccomp,acomp,6013.0,2861.0,0.0014385191554148536,0.0010613175175631171,-0.00037720163785173646,0.00037720163785173646,-26.221523462644164
nmod->prep,nmod,prep,2637.0,2703.0,0.0006308623004871061,0.0010027057846812672,0.0003718434841941612,0.0003718434841941612,58.94209939428155
conj->aux,conj,aux,6097.0,2941.0,0.0014586148828478899,0.0010909943443387373,-0.00036762053850915256,0.00036762053850915256,-25.203399665810863
acomp->advmod,acomp,advmod,8346.0,4444.0,0.0019966540613823996,0.0016485477273857016,-0.0003481063339966981,0.0003481063339966981,-17.43448405657632
csubj->dobj,csubj,dobj,3686.0,3311.0,0.0008818196585496674,0.0012282496681759805,0.0003464300096263131,0.0003464300096263131,39.28581159055673
pobj->appos,pobj,appos,15844.0,11118.0,0.0037904369696312888,0.004124337001141816,0.0003339000315105275,0.0003339000315105275,8.809011577971376
advmod->advmod,advmod,advmod,5080.0,2391.0,0.0012153130399979138,0.0008869661602563484,-0.0003283468797415654,0.0003283468797415654,-27.01747360022805
conj->auxpass,conj,auxpass,4988.0,2403.0,0.0011933034337617311,0.0008914176842726915,-0.0003018857494890396,0.0003018857494890396,-25.29832236695949
dobj->nummod,dobj,nummod,5160.0,4139.0,0.0012344518280293772,0.0015354048253036496,0.00030095299727427244,0.00030095299727427244,24.379484921230187
ROOT->csubj,ROOT,csubj,3282.0,2924.0,0.0007851687789907782,0.001084688018648918,0.00029951923965813984,0.00029951923965813984,38.147115330175104
conj->pobj,conj,pobj,3634.0,1544.0,0.0008693794463292163,0.0005727627567694697,-0.00029661668955974663,0.00029661668955974663,-34.118208201511116
