feature,family,intervention_date,target_years,n_months,n_pre_months,n_target_period_months,pre_mean,target_period_observed_mean,target_period_counterfactual_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,first_two_year_excess,first_two_year_excess_se,first_two_year_excess_ci_low,first_two_year_excess_ci_high,standardized_first_two_year_excess,standardized_first_two_year_excess_se,standardized_first_two_year_excess_ci_low,standardized_first_two_year_excess_ci_high,first_two_year_excess_p,r_squared,model,hac_lags,first_two_year_excess_q
avg_syllables_per_word,readability,2022-11-30,2023-2024,119,95,24,1.951908816944828,1.9981282557320394,1.9607890756525541,0.011699494628596636,0.00016889656451521645,0.0020267587741825974,0.0373391800794603,0.00977237354009813,0.018185327940867965,0.05649303221805263,3.191520767759792,0.8352816809891843,1.554368673020991,4.828672862498593,0.00013297008493998977,0.685364738736024,pretrend_plus_first_two_year_indicator_wls_hac,6,0.0003857031367135157
gunning_fog,readability,2022-11-30,2023-2024,119,95,24,20.81132787558311,21.33840229097968,20.758355266336988,0.24266647915168257,-0.0004890313472629831,-0.005868376167155798,0.5800470246424339,0.15188155493062835,0.2823591769784023,0.8777348723064654,2.390305520029679,0.625886012199041,1.1635689361195585,3.6170421039397995,0.00013395312274787648,0.45539038178638513,pretrend_plus_first_two_year_indicator_wls_hac,6,0.0003857031367135157
smog_index,readability,2022-11-30,2023-2024,119,95,24,18.056861685279927,18.366099752103732,18.01883956327406,0.1683423125041241,-0.0003753968670979022,-0.004504762405174827,0.3472601888294413,0.09277493001030218,0.16542132600924905,0.5290990516496336,2.0628217805962126,0.5511088010510095,0.9826485305362341,3.142995030656191,0.0001818079386065732,0.3969459356059283,pretrend_plus_first_two_year_indicator_wls_hac,6,0.0003857031367135157
dale_chall,readability,2022-11-30,2023-2024,119,95,24,13.036201645063056,13.526248171582452,13.19448287978208,0.10835183172364801,0.002776830076251721,0.033321960915020654,0.3317652918002143,0.08980207689609765,0.1557532210838629,0.5077773625165657,3.0619260101332078,0.8288007269239193,1.4374765853623261,4.68637543490409,0.00022040179240772327,0.7880800861103048,pretrend_plus_first_two_year_indicator_wls_hac,6,0.0003857031367135157
emphasis_marker_particularly_per_1k_words,emphasis_markers,2022-11-30,2023-2024,119,95,24,0.17147670950112706,0.31409014623697995,0.18735507984404656,0.06869621471375534,0.00025171275697218314,0.0030205530836661977,0.12673506639293494,0.03355765051297703,0.06096207138749997,0.1925080613983699,1.844862441417143,0.4884934439663913,0.8874152912430162,2.80230959159127,0.00015896010597675462,0.38508817759090375,pretrend_plus_first_two_year_indicator_wls_hac,6,0.00039740026494188653
verb_align_per_1k_words,verbs,2022-11-30,2023-2024,119,95,24,0.07497184717893658,0.2124996263902055,0.10275058183540203,0.05569869117172931,0.0004951756316604197,0.005942107579925035,0.10974904455480629,0.029268362903795933,0.05238305326336626,0.16711503584624632,1.970406166572744,0.5254766725766712,0.9404718883224682,3.0003404448230198,0.00017701093266709111,0.48043654851283646,pretrend_plus_first_two_year_indicator_wls_hac,6,0.000398274598500955
verb_underscore_per_1k_words,verbs,2022-11-30,2023-2024,119,95,24,0.010024625040755464,0.13379803879306562,0.014792779610456044,0.016688060028293965,8.903848713815372e-05,0.0010684618456578447,0.11900525918261258,0.032619441055757974,0.05507115471332695,0.18293936365189822,7.1311619793339505,1.9546574617093277,3.300033354383668,10.962290604284235,0.00026398908313995684,0.6508788143326051,pretrend_plus_first_two_year_indicator_wls_hac,6,0.0004261738268349561
verb_enhance_per_1k_words,verbs,2022-11-30,2023-2024,119,95,24,0.24064813355697187,0.7955329601701682,0.3152742881140341,0.09351492807034983,0.0013667949133486417,0.0164015389601837,0.4802586720561459,0.13232570021535706,0.22090029963404612,0.7396170444782457,5.135636437584112,1.4150222103128869,2.362192905370854,7.909079969797371,0.0002841158845566374,0.6735984168206548,pretrend_plus_first_two_year_indicator_wls_hac,6,0.0004261738268349561
verb_showcase_per_1k_words,verbs,2022-11-30,2023-2024,119,95,24,0.019163143349831383,0.09854639445825206,0.0484974357171459,0.025259233963421706,0.0004886369409583318,0.005863643291499982,0.05004895874110819,0.014104581498383235,0.022403979004277052,0.07769393847793933,1.9814123743255587,0.5583930818649647,0.8869619338702277,3.0758628147808893,0.0003875518283718275,0.6344827049892047,pretrend_plus_first_two_year_indicator_wls_hac,6,0.0004982809221923496
flesch_reading_ease,readability,2022-11-30,2023-2024,119,95,24,14.485341324531792,10.172052850741357,13.952468313690076,1.257886323895149,-0.011485744877276282,-0.13782893852731537,-3.78041546294903,1.0679794098369344,-5.873655106229421,-1.6871758196686386,-3.005371305129275,0.8490269665464267,-4.669464159560271,-1.3412784506982787,0.00040045601230230467,0.6207344153923444,pretrend_plus_first_two_year_indicator_wls_hac,6,0.0005606384172232266
