feature,family,intervention_date,target_year,n_months,n_pre_months,n_target_year_months,pre_mean,target_year_observed_mean,target_year_counterfactual_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,first_post_year_excess,first_post_year_excess_se,first_post_year_excess_ci_low,first_post_year_excess_ci_high,standardized_first_post_year_excess,standardized_first_post_year_excess_se,standardized_first_post_year_excess_ci_low,standardized_first_post_year_excess_ci_high,first_post_year_excess_p,r_squared,model,hac_lags,first_post_year_excess_q
gunning_fog,readability,2022-11-30,2023,107,95,12,20.81132787558311,21.087011697193685,20.722339888620276,0.24266647915168257,-0.0012642303538165471,-0.015170764245798565,0.3646718085723766,0.11611767234520841,0.1370811707757681,0.5922624463689851,1.5027696031491544,0.4785072612877331,0.5648953710251975,2.4406438352731112,0.001686385913979818,0.16418461461850598,pretrend_plus_first_post_year_indicator_wls_hac,6,0.003934900465952909
word_within_per_1k_words,marker_words,2022-11-30,2023,107,95,12,0.698913911408932,0.8294194726424529,0.6481825549767919,0.159432951962859,-0.0008416845812857885,-0.010100214975429463,0.18123691766562805,0.06002868232895696,0.06358070030087241,0.29889313503038367,1.1367594680668551,0.37651364783699826,0.3987927183063384,1.8747262178273716,0.002534665753231971,0.10553101694279332,pretrend_plus_first_post_year_indicator_wls_hac,6,0.004345141291254807
smog_index,readability,2022-11-30,2023,107,95,12,18.056861685279927,18.224092297981155,17.998728465929418,0.1683423125041241,-0.0008213177750752343,-0.009855813300902811,0.22536383205084043,0.07458156240589991,0.07918396973527661,0.3715436943664042,1.33872363221409,0.44303515436187674,0.47037472966481164,2.207072534763368,0.0025135145777136214,0.1352801566053654,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0043986505109988375
flesch_reading_ease,readability,2022-11-30,2023,107,95,12,14.485341324531792,11.897637882181085,14.288075667354004,1.257886323895149,-0.0063077928155537925,-0.07569351378664552,-2.390437785173721,0.8117745951749391,-3.9815159917166016,-0.7993595786308405,-1.9003607398890647,0.6453481365956917,-3.1652430876166204,-0.635478392161509,0.0032326133257690863,0.32836915922867316,pretrend_plus_first_post_year_indicator_wls_hac,6,0.004525658656076721
verb_align_per_1k_words,verbs,2022-11-30,2023,107,95,12,0.07497184717893658,0.16834354234399407,0.09214433370844166,0.05569869117172931,0.00034839230913378725,0.004180707709605447,0.07619920863555142,0.025506514447451927,0.026206440318545646,0.12619197695255718,1.36806102679532,0.4579374112905212,0.47050370066589836,2.265618352924741,0.00281323531458957,0.27283415349336637,pretrend_plus_first_post_year_indicator_wls_hac,6,0.005063823566261226
causal_marker_thereby_per_1k_words,causal_markers,2022-11-30,2023,107,95,12,0.09586027754575224,0.13411300763592537,0.08593831776156775,0.05036081959300123,-0.00016035519453888112,-0.0019242623344665733,0.04817468987435355,0.014895566557744619,0.018979379421174097,0.077370000327533,0.9565906644030969,0.2957768892191479,0.376867961533567,1.5363133672726266,0.0012199981532964917,0.0842214777345317,pretrend_plus_first_post_year_indicator_wls_hac,6,0.006099990766482459
word_while_per_1k_words,marker_words,2022-11-30,2023,107,95,12,0.8841541362866958,1.1750577813292529,1.0265524987455013,0.17246394734626233,0.0026121771182611737,0.031346125419134084,0.14850528258371826,0.052284917719790186,0.04602684385292949,0.250983721314507,0.8610801554110241,0.30316433390461484,0.26687806095797906,1.4552822498640692,0.0045069961076420586,0.375836398221145,pretrend_plus_first_post_year_indicator_wls_hac,6,0.006760494161463088
emphasis_marker_importantly_per_1k_words,emphasis_markers,2022-11-30,2023,107,95,12,0.07439428951323206,0.08345506658967516,0.05565150232068121,0.04102647425175851,-0.0003403268226022889,-0.004083921871227467,0.027803564268989958,0.009752528925612144,0.008688607574790157,0.046918520963189755,0.6776981150847545,0.23771306463640665,0.21178050839739754,1.1436157217721115,0.004359455944892535,0.04753732189212123,pretrend_plus_first_post_year_indicator_wls_hac,6,0.007265759908154225
flesch_kincaid_grade,readability,2022-11-30,2023,107,95,12,17.44136731825887,17.67804014803818,17.419133003309604,0.20245315387720184,-0.00011408630237355003,-0.0013690356284826004,0.2589071447277025,0.09631037627686757,0.07013880722504204,0.4476754822303629,1.2788496487673533,0.47571684823089855,0.3464446262347921,2.211254671299914,0.007182586548578229,0.15017679903963,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0083796843066746
automated_readability_index,readability,2022-11-30,2023,107,95,12,19.167822390817218,19.65095346196829,19.341432348736337,0.24854406195668863,0.0034615493377642063,0.041538592053170474,0.3095211132310203,0.1187228644520943,0.07682429890491543,0.5422179275571251,1.2453369869080095,0.47767330877847725,0.3090973017021942,2.1815766721138248,0.009131553378965282,0.3907109321894029,pretrend_plus_first_post_year_indicator_wls_hac,6,0.009131553378965282
sequential_marker_subsequently_per_1k_words,sequential_markers,2022-11-30,2023,107,95,12,0.04626505874946138,0.08394905331007319,0.053397096993080914,0.03308180099165692,0.00014036736970761212,0.0016844084364913453,0.030551956316991088,0.010824639791751632,0.009335662325157888,0.05176825030882429,0.9235276013145763,0.3272082978336505,0.2821993375606213,1.5648558650685314,0.004765891549001364,0.15077006496264755,pretrend_plus_first_post_year_indicator_wls_hac,6,0.01191472887250341
word_realm_per_1k_words,marker_words,2022-11-30,2023,107,95,12,0.008979264487104779,0.036578813815059896,0.005557808103079861,0.017027446284364412,-6.395253979430237e-05,-0.0007674304775316284,0.031021005711980097,0.012900466507661431,0.005736091356963693,0.0563059200669965,1.821823730576991,0.7576277905811036,0.33687326103802806,3.306774200115954,0.016188308321413096,0.20680142038696825,pretrend_plus_first_post_year_indicator_wls_hac,6,0.02158441109521746
adjective_intricate_per_1k_words,adjectives,2022-11-30,2023,107,95,12,0.019398132574852442,0.08961172331002251,0.01610935251506908,0.02390867353564638,-5.149704093116316e-05,-0.000617964491173958,0.07350237079495399,0.02547911974972922,0.023563296085484714,0.12344144550442326,3.0742973124530066,1.0656852088319078,0.9855543031424672,5.163040321763546,0.003916523282022228,0.4072416406364653,pretrend_plus_first_post_year_indicator_wls_hac,6,0.02349913969213337
verb_underscore_per_1k_words,verbs,2022-11-30,2023,107,95,12,0.010024625040755464,0.08252482973745161,0.007993021566080526,0.016688060028293965,-3.419301193668232e-05,-0.0004103161432401878,0.07453180817137214,0.032244514897808656,0.011332558971667184,0.1377310573710771,4.466175699572408,1.9321907305666037,0.6790818676618651,8.253269531482951,0.020807628226018036,0.4466201937556302,pretrend_plus_first_post_year_indicator_wls_hac,6,0.031211442339027052
summary_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,2023,107,95,12,0.3252463376189583,0.4051636196892262,0.3618934228341965,0.07815773349268611,0.0006743703426435978,0.008092444111723173,0.04327019685501632,0.019124476344138344,0.005786223220505163,0.08075417048952747,0.5536265564694949,0.2446907745338852,0.0740326383830799,1.03322047455591,0.02366307902425712,0.15416936161060601,pretrend_plus_first_post_year_indicator_wls_hac,6,0.039438465040428534
verb_showcase_per_1k_words,verbs,2022-11-30,2023,107,95,12,0.019163143349831383,0.07962833647874844,0.043488698413383375,0.025259233963421706,0.0004518094431435063,0.005421713317722075,0.0361396380653662,0.016877018566833116,0.003060681674373296,0.06921859445635911,1.430749567374077,0.6681524305635315,0.12117080346955561,2.7403283312785987,0.03224565978197313,0.4599940232116919,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0396463076593342
verb_exhibit_per_1k_words,verbs,2022-11-30,2023,107,95,12,0.37292084180901863,0.4016608356793165,0.299731288048576,0.1272135900725762,-0.0012532887972204298,-0.015039465566645158,0.10192954763072085,0.04840933175137934,0.0070472573980173425,0.19681183786342435,0.801247316207092,0.3805358509555582,0.0553970483341979,1.547097584079986,0.03524116236385262,0.07578289019989459,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0396463076593342
marker_adjectives_total_per_1k_words,adjectives,2022-11-30,2023,107,95,12,1.2004220666636038,1.8859168445772772,1.4496009709320679,0.24002635754236934,0.004498686002756856,0.05398423203308228,0.43631587364517044,0.1917616713611943,0.06046299777722963,0.8121687495131112,1.8177831722841196,0.7989192242245504,0.25190149280400065,3.3836648517642383,0.022887769762838094,0.5385524037733451,pretrend_plus_first_post_year_indicator_wls_hac,6,0.05085933284331279
adjective_pivotal_per_1k_words,adjectives,2022-11-30,2023,107,95,12,0.015343600427790333,0.06889437570576587,0.024311176522385337,0.019425740202704985,0.00016989758987502149,0.002038771078500258,0.044583199183381245,0.021362340709355773,0.002713011393043932,0.08645338697371856,2.2950579343778696,1.0996924949290283,0.13966064431697445,4.450455224438765,0.03688815941508633,0.34524996215454584,pretrend_plus_first_post_year_indicator_wls_hac,6,0.05085933284331279
adjective_crucial_per_1k_words,adjectives,2022-11-30,2023,107,95,12,0.22016404581762117,0.368611279763689,0.27122307116429506,0.07575557289398063,0.0009238179938032118,0.01108581592563854,0.09738820859938771,0.04785462793595488,0.003593137844916147,0.19118327935385926,1.2855583408455216,0.6316977894540786,0.04743067351552759,2.5236860081755155,0.04184237755419504,0.3224006091416286,pretrend_plus_first_post_year_indicator_wls_hac,6,0.05085933284331279
adjective_comprehensive_per_1k_words,adjectives,2022-11-30,2023,107,95,12,0.12098566347043689,0.30673062388221956,0.19550339702048494,0.06305143079200923,0.0013570977979209626,0.01628517357505155,0.11122722686173475,0.05479870354906052,0.0038217679055761317,0.21863268581789336,1.764071417009478,0.8691111821050918,0.06061350008349819,3.4675293339354574,0.04238277736942732,0.5397294667727595,pretrend_plus_first_post_year_indicator_wls_hac,6,0.05085933284331279
word_meticulously_per_1k_words,marker_words,2022-11-30,2023,107,95,12,0.0006758712185546137,0.01052403349473878,0.002662524357442064,0.004019754116834891,3.606041581977886e-05,0.0004327249898373463,0.007861509137296958,0.003949507507310684,0.000120474422968018,0.015602543851625898,1.9557189093662826,0.9825246501446414,0.02997059508278536,3.88146722364978,0.046535481530067,0.19753601969560597,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0558425778360804
contrast_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,2023,107,95,12,1.2281615092161426,1.5436048934722706,1.4122756894139386,0.20286679084852424,0.003546709737348962,0.04256051684818755,0.13132920405828308,0.06677974841086341,0.000440897172990784,0.26221751094357537,0.6473666956970964,0.32918028688454115,0.002173333403395686,1.292560057990797,0.04922908288130587,0.4028035063910368,pretrend_plus_first_post_year_indicator_wls_hac,6,0.061536353601632336
word_across_per_1k_words,marker_words,2022-11-30,2023,107,95,12,0.5973760144695304,0.8695254315404152,0.7599464607078521,0.1687473472459125,0.0029541046838290393,0.03544925620594847,0.10957897083254342,0.058607413857905535,-0.005291560328951422,0.22444950199403826,0.649367072258955,0.3473086529324695,-0.03135788748868523,1.330092032006595,0.061523855754665936,0.38927248022884275,pretrend_plus_first_post_year_indicator_wls_hac,6,0.06711693355054466
causal_marker_accordingly_per_1k_words,causal_markers,2022-11-30,2023,107,95,12,0.028495964481440574,0.019696515073718855,0.029215240740945,0.02274650332237031,1.3566020563109858e-05,0.00016279224675731828,-0.009518725667227758,0.004535535745037006,-0.01840837572750029,-0.0006290756069552254,-0.418469842697381,0.19939485558540693,-0.8092837596447786,-0.027655925749983466,0.03584341693397199,0.02100193469268663,pretrend_plus_first_post_year_indicator_wls_hac,6,0.08960854233492999
causal_marker_consequently_per_1k_words,causal_markers,2022-11-30,2023,107,95,12,0.05244899795208002,0.0755317257567774,0.058451203882556334,0.032065590089267924,0.00010850889380560043,0.001302106725667205,0.017080521874219108,0.008863756009372403,-0.00029243990415080134,0.03445348365258902,0.5326744908379469,0.27642578803934204,-0.009120053719163536,1.0744690353950574,0.05397872948536541,0.06614632219244065,pretrend_plus_first_post_year_indicator_wls_hac,6,0.08996454914227568
em_dash_per_1k_words,punctuation,2022-11-30,2023,107,95,12,0.5026445798769189,0.48182554677877,0.5504169071055433,0.15121144702433376,0.000858553940260278,0.010302647283123335,-0.06859136032679802,0.03694878232976987,-0.14101097369314697,0.0038282530395509218,-0.453612221009696,0.24435175416199723,-0.9325416591672105,0.02531721714781857,0.06339794936188808,0.023634163998693558,pretrend_plus_first_post_year_indicator_wls_hac,6,0.09956994949803209
colon_per_1k_words,punctuation,2022-11-30,2023,107,95,12,2.945546838901132,3.439758137108476,3.287271853431949,0.3685409349520844,0.006252591205870487,0.07503109447044584,0.15248628367639971,0.08306035472269027,-0.010312011580073221,0.31528457893287265,0.4137567070974765,0.2253761979886693,-0.027980640960315387,0.8554940551552683,0.0663799663320214,0.33855678526097044,pretrend_plus_first_post_year_indicator_wls_hac,6,0.09956994949803209
causal_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,2023,107,95,12,0.7955903404756672,0.7916904898013896,0.7439083588449965,0.14699921409709316,-0.0008867135388655479,-0.010640562466386574,0.04778213095635184,0.029738471084521868,-0.010505272369311022,0.1060695342820147,0.3250502477162339,0.20230360595587654,-0.07146481995728411,0.721565315389752,0.10811038247164753,0.02563656176812601,pretrend_plus_first_post_year_indicator_wls_hac,6,0.10811038247164753
hedge_ratio,other,2022-11-30,2023,107,95,12,0.0030112624929747294,0.0026795885744849797,0.0028893650162049697,0.0003380714109089517,-2.447250526710346e-06,-2.9367006320524154e-05,-0.00020977644172015053,0.0001361150031590972,-0.00047656184791198105,5.700896447167998e-05,-0.6205092620997961,0.40262204601428203,-1.409648472287789,0.1686299480881968,0.123275269708336,0.14246294197600884,pretrend_plus_first_post_year_indicator_wls_hac,6,0.123275269708336
adjective_potential_per_1k_words,adjectives,2022-11-30,2023,107,95,12,0.8245306243729025,1.0520688419155801,0.942453973709834,0.19302171233041074,0.00209936966208882,0.025192435945065844,0.10961486820571281,0.07133682279624172,-0.030205304474920952,0.24943504088634658,0.5678887980129212,0.3695792661611496,-0.15648656366293193,1.2922641596887745,0.12439573635118936,0.20008027699687259,pretrend_plus_first_post_year_indicator_wls_hac,6,0.12439573635118935
sequential_marker_furthermore_per_1k_words,sequential_markers,2022-11-30,2023,107,95,12,0.2811017322442952,0.37693173578311984,0.32580209647466607,0.08752689955814479,0.000833255410027983,0.009999064920335796,0.051129639308443234,0.029682519305943837,-0.0070480985312066854,0.10930737714809316,0.5841591506903249,0.33912453720842145,-0.08052494223818107,1.248843243618831,0.08496983792257588,0.1730722125866847,pretrend_plus_first_post_year_indicator_wls_hac,6,0.14161639653762648
summary_marker_ultimately_per_1k_words,summary_markers,2022-11-30,2023,107,95,12,0.04902535939771252,0.06787394015244588,0.055470423351467055,0.03252853711602339,0.0001158141737234676,0.0013897700846816114,0.012403516800976963,0.00645850598961948,-0.0002551549386772163,0.025062188540631143,0.3813118541647253,0.19854892233804308,-0.007844033617839159,0.7704677419472897,0.05479563193402107,0.048400179464510695,pretrend_plus_first_post_year_indicator_wls_hac,6,0.1455102849170948
summary_marker_in_summary_per_1k_words,summary_markers,2022-11-30,2023,107,95,12,0.014328931006716162,0.02594923492222254,0.018355801660836366,0.014955094032028876,7.191598122056521e-05,0.0008629917746467825,0.007593433261385821,0.004062513599546192,-0.00036909339372471345,0.015555959916496356,0.5077489479586816,0.2716474795040157,-0.024680111869189,1.0401780077865523,0.06160242878731539,0.0766881305987337,pretrend_plus_first_post_year_indicator_wls_hac,6,0.1455102849170948
summary_marker_collectively_per_1k_words,summary_markers,2022-11-30,2023,107,95,12,0.02834570778934423,0.028834975694004086,0.01964189675449166,0.026078225021843416,-0.00015069282466576524,-0.0018083138959891828,0.009193078939510825,0.005376754642431289,-0.0013453601596545,0.01973151803867615,0.3525193502169185,0.20617793726097763,-0.051589406814597664,0.7566281072484345,0.08730617095025688,0.023691045357807305,pretrend_plus_first_post_year_indicator_wls_hac,6,0.1455102849170948
verb_garner_per_1k_words,verbs,2022-11-30,2023,107,95,12,0.0019017337733758276,0.007728511058126862,0.0038645397184101926,0.006354616116510247,3.568064452781119e-05,0.0004281677343337343,0.0038639713397167577,0.0026866017987297324,-0.0014017681857935176,0.009129710865227033,0.6080573977832555,0.4227795589019984,-0.22059053766466133,1.4367053332311723,0.15036669062365968,0.08213081341669948,pretrend_plus_first_post_year_indicator_wls_hac,6,0.15036669062365968
summary_marker_taken_together_per_1k_words,summary_markers,2022-11-30,2023,107,95,12,0.023972327147203522,0.02352277423817207,0.014733864048693202,0.022448563425150784,-0.0001659633121848312,-0.001991559746217974,0.008788910189477412,0.005801733571974356,-0.002582487611592325,0.020160307990547147,0.39151325735305387,0.2584456502670565,-0.11504021717037685,0.8980667318764846,0.12980366768062873,0.036299506758804556,pretrend_plus_first_post_year_indicator_wls_hac,6,0.1622545846007859
emphasis_marker_remarkably_per_1k_words,emphasis_markers,2022-11-30,2023,107,95,12,0.04650079890904423,0.059329196875838,0.04427013668591385,0.035601443002023433,-2.584603939127408e-05,-0.00031015247269528895,0.015059060189922162,0.010773585976334155,-0.006057168323692781,0.0361752887035371,0.42299016332192685,0.3026165533717785,-0.170138281286759,1.0161186079306126,0.16218033581247948,0.01917101235876828,pretrend_plus_first_post_year_indicator_wls_hac,6,0.1628143728979548
emphasis_marker_crucially_per_1k_words,emphasis_markers,2022-11-30,2023,107,95,12,0.027436413117289036,0.03130984473213897,0.023329537045759356,0.028035556633128303,-7.408753177316848e-05,-0.0008890503812780217,0.007980307686378231,0.005717910972770473,-0.003226797820251896,0.01918741319300836,0.28464951813898626,0.2039521115130593,-0.11509662042660998,0.6843956567045826,0.1628143728979548,0.008866970210272274,pretrend_plus_first_post_year_indicator_wls_hac,6,0.1628143728979548
contrast_marker_however_per_1k_words,contrast_markers,2022-11-30,2023,107,95,12,1.138726923152217,1.4523699217063981,1.3158207597589484,0.19922869000739146,0.0034237016203722114,0.04108441944446654,0.13654916194740607,0.07123457455648428,-0.0030706041833031272,0.27616892807811527,0.6853890468402921,0.35755178912154395,-0.015412459837934017,1.3861905535185184,0.05525133993562678,0.3941715082935412,pretrend_plus_first_post_year_indicator_wls_hac,6,0.27625669967813393
semicolon_per_1k_words,punctuation,2022-11-30,2023,107,95,12,0.6692540199163008,0.58672708971391,0.6575278504833395,0.20252062019786338,-0.0003755918971399954,-0.0045071027656799455,-0.07080076076946615,0.07182345780621537,-0.21157473806964827,0.06997321653071598,-0.3495977876242604,0.3546476291453364,-1.0447071407491197,0.34551156550059886,0.3242504271236488,0.026944190644469623,pretrend_plus_first_post_year_indicator_wls_hac,6,0.3242504271236488
sequential_marker_further_per_1k_words,sequential_markers,2022-11-30,2023,107,95,12,0.16946518251728426,0.22619523247608503,0.20362401653085818,0.07262059181755538,0.0006118643727484293,0.007342372472981151,0.022571215945220546,0.02141894712265525,-0.019409920415183746,0.06455235230562484,0.31081013498108334,0.2949431640059619,-0.26727846647060194,0.8888987364327686,0.2919760014842138,0.11134667141538246,pretrend_plus_first_post_year_indicator_wls_hac,6,0.35631066205538986
sequential_marker_moreover_per_1k_words,sequential_markers,2022-11-30,2023,107,95,12,0.26714923896374315,0.33265775970652156,0.3181801775985209,0.08031778892461197,0.0009411038809720643,0.011293246571664771,0.014477582107990147,0.015695253613848697,-0.016285114975153298,0.04524027919113359,0.18025374330933241,0.19541441346923288,-0.20275850709036403,0.5632659937090287,0.35631066205538986,0.16054511265436167,pretrend_plus_first_post_year_indicator_wls_hac,6,0.35631066205538986
causal_marker_hence_per_1k_words,causal_markers,2022-11-30,2023,107,95,12,0.12416752525825357,0.11066152556421258,0.12402241019931977,0.05185155777271158,1.114660870576394e-05,0.00013375930446916728,-0.013360884635113597,0.013492432395096133,-0.039806052129502015,0.013084282859274824,-0.2576756650914962,0.26021267199414644,-0.7676925022000232,0.2523411720170308,0.32205181380556874,0.007560049097527721,pretrend_plus_first_post_year_indicator_wls_hac,6,0.40256476725696094
contrast_marker_nonetheless_per_1k_words,contrast_markers,2022-11-30,2023,107,95,12,0.01852012112269764,0.011467161017891928,0.017984209592684822,0.02394284106419367,-1.0474860914346582e-05,-0.00012569833097215898,-0.006517048574793995,0.004655451585040414,-0.015641733681473206,0.0026076365318852164,-0.2721919490390048,0.19444023257551524,-0.6532948048870146,0.10891090680900506,0.16155086380286005,0.012227722774305616,pretrend_plus_first_post_year_indicator_wls_hac,6,0.4038771595071501
avg_words_per_sentence,syntax,2022-11-30,2023,107,95,12,26.47904483713196,26.193865028090627,26.49127952143218,0.3932451964496735,-5.1634567836359585e-06,-6.19614814036315e-05,-0.29741449334285797,0.1520377066793391,-0.5954083984343626,0.0005794117486466743,-0.7563080134938668,0.3866231756979554,-1.5140894378618592,0.001473410874125772,0.05044289078794017,0.06460372799639025,pretrend_plus_first_post_year_indicator_wls_hac,6,0.46730972176982744
dependency_length_std,syntax,2022-11-30,2023,107,95,12,0.6497639875683479,0.6453063182204133,0.6512389809108942,0.01876229822365943,1.5913266853312608e-05,0.0001909592022397513,-0.005932662690513263,0.003536795187675793,-0.012864781258357817,0.0009994558773312916,-0.3162012787448459,0.18850543496936115,-0.6856719312847936,0.05326937379510195,0.09346194435396549,0.0105975857044871,pretrend_plus_first_post_year_indicator_wls_hac,6,0.46730972176982744
dependency_entropy,syntax,2022-11-30,2023,107,95,12,2.731986214737045,2.7428656423610307,2.749717073160177,0.012976999581369567,0.00032407285690054565,0.0038888742828065478,-0.0068514307992815215,0.004653227121333551,-0.015971755957095282,0.002268894358532239,-0.5279672513142237,0.3585749611962659,-1.230774175258905,0.1748396726304575,0.14091178042330413,0.48071644309853234,pretrend_plus_first_post_year_indicator_wls_hac,6,0.46960370950945346
dependency_length,syntax,2022-11-30,2023,107,95,12,3.378918057240703,3.3895527131050085,3.3986745564954286,0.025647918889482663,0.00035221386033900434,0.004226566324068052,-0.00912184339058919,0.006926273706550629,-0.022697339855428423,0.004453653074250042,-0.35565627877627715,0.27005207464964565,-0.8849583450895826,0.17364578753702833,0.18784148380378138,0.1275363771932142,pretrend_plus_first_post_year_indicator_wls_hac,6,0.46960370950945346
coordination_per_sentence_std,syntax,2022-11-30,2023,107,95,12,0.8294691541564044,0.8483155343453561,0.8559010402288674,0.028371503115306906,0.000475752113468915,0.00570902536162698,-0.00758550588355153,0.007230737868932947,-0.021757752106660106,0.006586740339557046,-0.26736355323588834,0.2548591746988492,-0.7668875356456328,0.2321604291738561,0.2941487213976143,0.23530077837234153,pretrend_plus_first_post_year_indicator_wls_hac,6,0.5031937782952349
clause_depth,syntax,2022-11-30,2023,107,95,12,11.89887334678802,11.889416732647136,11.9347875272474,0.1473245238434394,0.0005861981898928341,0.007034378278714009,-0.04537079460085769,0.043949777703875086,-0.13151235890045287,0.04077076969873748,-0.30796498381405174,0.2983194960166996,-0.8926711960067831,0.2767412283786796,0.30191626697714097,0.012719836936313178,pretrend_plus_first_post_year_indicator_wls_hac,6,0.5031937782952349
