paperId,year,publicationDate,word_count,nonpunct_dependency_count,det_pobj_count,det_non_pobj_count,det_total_count,prep_count,pobj_count,amod_count,compound_count,prepositional_modifier_count,prenominal_modifier_count,det_pobj_per_1k_words,det_non_pobj_per_1k_words,det_total_per_1k_words,prepositional_modifier_per_1k_words,prenominal_modifier_per_1k_words,det_pobj_share_of_det,prepositional_modifier_role_prop,prenominal_modifier_role_prop,prenominal_to_prepositional_ratio
1501.03209v2,2015,2015-01-13,7.0,7,0,0,0,2,2,2,0,4,2,0.0,0.0,0.0,571.4285714285714,285.7142857142857,0.0,0.5714285714285714,0.2857142857142857,0.5
1501.03205v3,2015,2015-01-13,12.0,12,0,0,0,2,2,2,1,4,3,0.0,0.0,0.0,333.3333333333333,250.0,0.0,0.3333333333333333,0.25,0.75
1501.03179v2,2015,2015-01-13,16.0,17,0,1,1,2,1,0,2,3,2,0.0,62.5,62.5,187.5,125.0,0.0,0.17647058823529413,0.11764705882352941,0.6666666666666666
1501.03173v1,2015,2015-01-13,13.0,13,1,1,2,3,3,0,1,6,1,76.92307692307693,76.92307692307693,153.84615384615387,461.53846153846155,76.92307692307693,0.5,0.46153846153846156,0.07692307692307693,0.16666666666666666
1501.02450v1,2015,2015-01-11,12.0,12,0,0,0,2,2,3,3,4,6,0.0,0.0,0.0,333.3333333333333,500.0,0.0,0.3333333333333333,0.5,1.5
1501.02366v4,2015,2015-01-10,8.0,8,0,0,0,2,1,2,0,3,2,0.0,0.0,0.0,375.0,250.0,0.0,0.375,0.25,0.6666666666666666
1501.01863v1,2015,2015-01-08,4.0,4,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.25,
1501.01860v1,2015,2015-01-08,9.0,9,0,0,0,3,3,1,1,6,2,0.0,0.0,0.0,666.6666666666666,222.2222222222222,0.0,0.6666666666666666,0.2222222222222222,0.3333333333333333
1501.01854v1,2015,2015-01-08,5.0,5,0,0,0,1,1,1,1,2,2,0.0,0.0,0.0,400.0,400.0,0.0,0.4,0.4,1.0
1501.01477v1,2015,2015-01-07,19.0,20,0,1,1,3,4,3,4,7,7,0.0,52.63157894736842,52.63157894736842,368.4210526315789,368.4210526315789,0.0,0.35,0.35,1.0
1501.01167v1,2015,2015-01-06,14.0,16,0,1,1,3,3,2,2,6,4,0.0,71.42857142857143,71.42857142857143,428.57142857142856,285.7142857142857,0.0,0.375,0.25,0.6666666666666666
