feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,placebo_year,slope_change_q
contrast_marker_nonetheless_per_1k_words,contrast_markers,2021-01-01,83,19,64,0.019691248496056257,0.014279858888518217,-0.000859373563469976,-0.010312482761639711,0.004260597263752388,0.0036321156313652817,-0.0028583493737235647,0.01137954390122834,0.24078193559969352,0.0008608267935748808,0.01032992152289857,0.0006242816241333487,0.0074913794896001844,-0.0043531822767177925,0.02501302532251493,0.16792318658342062,1.453230104904858e-06,1.7438761258858296e-05,0.023271839393842808,monthly_segmented_wls_hac,6,2021,0.2798719776390344
contrast_marker_alternatively_per_1k_words,contrast_markers,2021-01-01,83,19,64,0.003394171213993507,0.003889346647115341,0.0002358519896277042,0.00283022387553245,-0.00317193010178498,0.0011282252735920174,-0.005383251638025334,-0.0009606085655446263,0.00493213159605424,-0.00024141231890934445,-0.0028969478269121334,0.00021527275021521246,0.0025832730025825493,-0.00796016291197393,0.0021662672581496635,0.2621068513217575,-5.560329281640252e-06,-6.672395137968302e-05,0.044550117078111295,monthly_segmented_wls_hac,6,2021,0.32763356415219685
contrast_marker_conversely_per_1k_words,contrast_markers,2021-01-01,83,19,64,0.01820354754481732,0.03461463981940234,0.000623213889989973,0.007478566679879676,-0.002928907827715963,0.004134418243389989,-0.01103236758476034,0.005174551929328414,0.4786839871678908,-0.00026235215346709985,-0.003148225841605198,0.0005661502526288987,0.006793803031546784,-0.016464079783436895,0.010167628100226499,0.6430800503365643,0.0003608617365228731,0.004330340838274477,0.29530748691226516,monthly_segmented_wls_hac,6,2021,0.6430800503365643
contrast_markers_total_per_1k_words,discourse_marker_totals,2021-01-01,83,19,64,1.143685304890311,1.152602584919757,-0.009447220715150546,-0.11336664858180655,0.11893101710638525,0.04349367869357049,0.03368340686698709,0.2041786273457834,0.00624857739873159,0.009545580114878192,0.1145469613785383,0.00233836438338002,0.02806037260056024,0.059548631081440234,0.16954529167563637,4.461884984336785e-05,9.835939972764607e-05,0.0011803127967317528,0.1122276161335376,monthly_segmented_wls_hac,6,2021,0.00022309424921683924
causal_markers_total_per_1k_words,discourse_marker_totals,2021-01-01,83,19,64,0.3756117271266778,0.33095173744211537,0.003917993889450743,0.04701592667340891,0.015015335329319153,0.01939902513022079,-0.023006753925913594,0.0530374245845519,0.4389158579284828,-0.007749227200965639,-0.09299072641158768,0.0031854781867385745,0.038225738240862894,-0.16791317336367895,-0.018068279459496395,0.014987824201373776,-0.003831233311514896,-0.04597479973817875,0.751266063729488,monthly_segmented_wls_hac,6,2021,0.03746956050343444
summary_markers_total_per_1k_words,discourse_marker_totals,2021-01-01,83,19,64,0.554335450953255,0.6880958715055584,0.010146557387673595,0.12175868865208314,0.014357514488976944,0.02730797651853177,-0.03916611948734532,0.06788114846529922,0.5990531184742652,-0.008813001047421363,-0.10575601256905635,0.004185578833228917,0.050226945998747004,-0.2042008267266005,-0.007311198411512225,0.03524230615522387,0.0013335563402522323,0.016002676083026787,0.44725980503325047,monthly_segmented_wls_hac,6,2021,0.058737176925373114
sequential_markers_total_per_1k_words,discourse_marker_totals,2021-01-01,83,19,64,0.8317927503096282,0.8980346152775271,-0.006012047525425656,-0.07214457030510787,0.16277664188178298,0.07491063419996749,0.01595179884984671,0.30960148491371925,0.029784503414729633,0.0053781484767508915,0.0645377817210107,0.005386549981138019,0.06463859977365623,-0.0621538738353555,0.19122943727737687,0.3180659091867997,-0.0006338990486747641,-0.00760678858409717,0.0995222743838412,monthly_segmented_wls_hac,6,2021,0.39758238648349964
emphasis_markers_total_per_1k_words,discourse_marker_totals,2021-01-01,83,19,64,0.3634533731688694,0.5469357706200095,0.008526113071457243,0.10231335685748691,-0.14967576309122438,0.0556068293973146,-0.258665148709961,-0.04068637747248777,0.00710932279707428,9.802292416025453e-05,0.0011762750899230543,0.002192096187103563,0.026305154245242754,-0.05038182723075275,0.052734377410598846,0.9643332617526981,0.008624135995617498,0.10348963194740998,0.7852689433864222,monthly_segmented_wls_hac,6,2021,0.964333261752698
emphasis_marker_remarkably_per_1k_words,emphasis_markers,2021-01-01,83,19,64,0.012445226682180103,0.014562352382163891,0.0006784714084701349,0.00814165690164162,-0.002094842597111281,0.0026757282217919932,-0.007339269911823588,0.003149584717601026,0.4336825513584399,-0.0008460033410501633,-0.010152040092601958,0.0005364572569334004,0.006437487083200804,-0.022769514775675535,0.0024654345904716176,0.11479113006860688,-0.00016753193258002834,-0.00201038319096034,0.18816332830381677,monthly_segmented_wls_hac,6,2021,0.5739556503430344
emphasis_marker_crucially_per_1k_words,emphasis_markers,2021-01-01,83,19,64,0.008226097387414562,0.006290144918051329,8.337452157900155e-05,0.0010004942589480186,-0.00647092168270303,0.0022454999220790435,-0.010872101529977956,-0.0020697418354281042,0.003955000411636952,8.539039089621272e-05,0.0010246846907545526,0.0003600927760637561,0.004321113312765074,-0.007444697402264992,0.009494066783774097,0.8125525119935124,0.00016876491247521427,0.0020251789497025712,0.1917749377940181,monthly_segmented_wls_hac,6,2021,0.8125525119935124
emphasis_marker_importantly_per_1k_words,emphasis_markers,2021-01-01,83,19,64,0.07319776637315858,0.05165418129315172,0.0005213131372825322,0.006255757647390386,-0.018167484347214317,0.0054474519220879545,-0.02884449011450671,-0.0074904785799219265,0.0008528632572950386,-0.0006304171747356271,-0.007565006096827525,0.0009227966999085191,0.011073560398902229,-0.029269184478675894,0.014139172285020844,0.4945061689120234,-0.00010910403745309494,-0.0013092484494371393,0.1763681911521735,monthly_segmented_wls_hac,6,2021,0.8125525119935124
emphasis_marker_notably_per_1k_words,emphasis_markers,2021-01-01,83,19,64,0.047433198522919585,0.10294942129565518,0.0014941190741848541,0.01792942889021825,-0.019182181016031082,0.01110874699570402,-0.040955325127610964,0.0025909630955487963,0.08421011101699011,0.0004917465767577605,0.005900958921093127,0.0008663330582706054,0.010395996699247265,-0.01447519460943151,0.026277112451617766,0.5702941163883644,0.0019858656509426148,0.023830387811311377,0.6894725547618985,monthly_segmented_wls_hac,6,2021,0.8125525119935124
