month_ts,paper_count,em_dash_per_1k_words_monthly_mean,semicolon_per_1k_words_monthly_mean,colon_per_1k_words_monthly_mean,clause_depth_monthly_mean,dependency_entropy_monthly_mean,dependency_length_monthly_mean,coordination_count_monthly_mean,sentence_depth_std_monthly_mean,list_of_three_monthly_mean,marker_words_total_per_1k_words_monthly_mean,marker_verbs_total_per_1k_words_monthly_mean,marker_adjectives_total_per_1k_words_monthly_mean,marker_phrases_total_per_1k_words_monthly_mean,sequential_markers_total_per_1k_words_monthly_mean,causal_markers_total_per_1k_words_monthly_mean,contrast_markers_total_per_1k_words_monthly_mean,emphasis_markers_total_per_1k_words_monthly_mean,summary_markers_total_per_1k_words_monthly_mean
2016-11-01,15,0.0,0.8438818565400844,4.385189269508814,10.4,2.716137727250784,3.449209691256882,4.6,1.7716080957549907,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-01,15,0.43572984749455335,0.0,2.1717618250979003,11.4,2.7573877947895293,3.2484493636517358,5.133333333333334,2.455805510565274,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,15,0.0,0.0,3.3637355689989743,11.933333333333334,2.71295860152368,3.2161562461375195,5.8,2.523126240511421,1.0666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,15,0.6289308176100629,0.8913980092111127,2.5968844330521006,11.4,2.757041226810335,3.4651653561505893,4.733333333333333,2.3905922428938977,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-01,15,0.7246376811594203,0.24600246002460022,4.098720740038781,13.533333333333333,2.817244970039718,3.207576304317799,5.866666666666666,2.9114854892188338,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-01,15,0.0,1.1694761344715527,4.916999187550162,13.333333333333334,2.770002649997522,3.426552161437238,5.666666666666667,2.916277878927163,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,15,1.0309679427326486,0.0,1.2089181959966706,11.2,2.726376072145546,3.515910910190093,5.133333333333334,2.17240211033342,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-01,15,0.0,1.223095746025365,4.911990496399657,11.0,2.6887485737932186,3.1347028472186813,3.6666666666666665,2.3588371820284935,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,15,0.0,1.1752814799144393,2.729101555571021,11.933333333333334,2.722271789057699,3.3656967588502553,4.866666666666666,2.468336277609665,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,15,0.6116207951070336,0.2534854245880862,2.771465360363516,12.0,2.766336161114008,3.203620319795743,5.4,2.310644303181896,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,15,0.8451005562687205,2.5574191337137075,2.4187663692045005,11.6,2.80345416679568,3.5271375778841203,5.733333333333333,1.9756221959859377,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-01,15,0.6230529595015576,0.0,4.508516196517072,12.0,2.8099744229371995,3.3095041853924956,6.0,2.3929725454366344,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
