feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,slope_change_q,level_shift_q
word_particularly_per_1k_words,marker_words,2022-11-30,83,42,41,0.2384913416998992,0.43851056524995524,0.0007244886937423601,0.008693864324908322,-0.038957772629744356,0.029718924419801014,-0.09720686449255433,0.01929131923306563,0.18990025328688123,0.009830348497099564,0.11796418196519476,0.002000700325585067,0.024008403907020803,0.070907710307434,0.16502065362295554,8.948585413634058e-07,0.010554837190841923,0.12665804629010308,0.8489241561923623,monthly_segmented_wls_hac,6,4.465593374103466e-06,0.25636534193728966
emphasis_markers_total_per_1k_words,marker_words,2022-11-30,83,42,41,0.3742911907415809,0.6387627658229934,7.288508249790842e-06,8.746209899749011e-05,-0.0019119650550649403,0.04806686044598185,-0.09612301152918937,0.09229908141905949,0.9682707547055756,0.012390813161561477,0.14868975793873773,0.002618545720220647,0.03142254864264776,0.0871015625991481,0.21027795327832732,2.2237916240874463e-06,0.012398101669811267,0.1487772200377352,0.8546785796545854,monthly_segmented_wls_hac,6,8.577481978623007e-06,0.9682707547055756
contrast_markers_total_per_1k_words,marker_words,2022-11-30,83,42,41,1.1283962544056056,1.173266915676705,0.0020607941281810135,0.02472952953817216,0.14411044391752648,0.052759951543365116,0.04070093889253085,0.2475199489425221,0.006305894037417129,-0.007108421228497622,-0.08530105474197147,0.0017180348550019768,0.020616418260023722,-0.12570923453161795,-0.04489287495232497,3.510641372348669e-05,-0.005047627100316608,-0.0605715252037993,0.3859269972375631,monthly_segmented_wls_hac,6,0.00011848414631676758,0.028376523168377077
causal_marker_thus_per_1k_words,marker_words,2022-11-30,83,42,41,0.22265587690090496,0.15313988773360354,-0.0006999751298400994,-0.008399701558081193,0.008397205703437756,0.01382004060609042,-0.018690073884499468,0.035484485291374976,0.5434456469656734,-0.0034248300710399667,-0.041097960852479604,0.0009971749935960728,0.011966099923152874,-0.06455151670185923,-0.01764440500309997,0.0005935765654511945,-0.0041248052008800665,-0.0494976624105608,0.7595851219110107,monthly_segmented_wls_hac,6,0.0017807296963535833,0.5869212987229273
causal_markers_total_per_1k_words,marker_words,2022-11-30,83,42,41,0.3869100182440361,0.29432471330372556,-0.0015079195065681404,-0.018095034078817684,0.028871395728074702,0.018342552929923234,-0.007080008014574837,0.06482279947072424,0.11548470918089715,-0.0038865164064739704,-0.046638196877687645,0.0011876790799866368,0.014252148959839641,-0.07457240883897334,-0.01870398491640195,0.001066527596784938,-0.005394435913042111,-0.06473323095650534,0.7651708009150427,monthly_segmented_wls_hac,6,0.0028796245113193323,0.19488044674276395
causal_marker_accordingly_per_1k_words,marker_words,2022-11-30,83,42,41,0.023933603336842153,0.013981723665521794,-0.0003735969243566687,-0.004483163092280024,0.0008800523158045163,0.002074693650370798,-0.0031863472389222474,0.00494645187053128,0.671431465326704,0.0002808197725986839,0.0033698372711842067,8.952547621563115e-05,0.0010743057145875738,0.0012641980705925624,0.005475476471775851,0.001708269411790315,-9.277715175798481e-05,-0.0011133258210958177,0.20301123827426037,monthly_segmented_wls_hac,6,0.004193024919848955,0.6972557524546541
sequential_markers_total_per_1k_words,marker_words,2022-11-30,83,42,41,0.8374362127233402,0.9294135780308388,0.0024870651201615358,0.02984478144193843,0.26582847043630103,0.09348837313704023,0.0825912590877022,0.44906568178489986,0.004462957516071517,-0.011906240142913542,-0.14287488171496251,0.003972434674163592,0.0476692160899631,-0.23630654525129016,-0.04944321817863483,0.0027245862981230525,-0.009419175022752007,-0.11303010027302408,0.4757915160160504,monthly_segmented_wls_hac,6,0.006130319170776868,0.024099970586786194
causal_marker_hence_per_1k_words,marker_words,2022-11-30,83,42,41,0.062243637282849186,0.03642147255670604,-0.0005851092340795058,-0.00702131080895407,0.005937764042149049,0.004453112280725672,-0.0027903360280732694,0.014665864112371366,0.18240174152943645,-0.0005744142283604154,-0.006892970740324985,0.00022440392949070513,0.002692847153888462,-0.012170951161946369,-0.0016149903187036001,0.01047524953323896,-0.0011595234624399212,-0.013914281549279053,0.62254149181277,monthly_segmented_wls_hac,6,0.021756287492111687,0.25636534193728966
sequential_marker_further_per_1k_words,marker_words,2022-11-30,83,42,41,0.33440134396502874,0.3498829874303073,-0.00013506632514512487,-0.0016207959017414983,0.08903956745341762,0.024349866141309972,0.04131382981645008,0.13676530509038518,0.0002555071507118356,-0.0026419285193079595,-0.031703142231695514,0.001211038359936727,0.014532460319240723,-0.060186764457407324,-0.003219520005983698,0.029143505608150985,-0.0027769948444530844,-0.03332393813343701,0.27703648882143894,monthly_segmented_wls_hac,6,0.05245831009467177,0.0022995643564065207
sequential_marker_moreover_per_1k_words,marker_words,2022-11-30,83,42,41,0.13290569344482703,0.10457584658878392,-0.00018834194211093364,-0.0022601033053312037,0.013588891114683437,0.01256604252722656,-0.01104055223868062,0.038218334468047496,0.27952018672676593,-0.0017083423974487825,-0.02050010876938539,0.0007817173096697174,0.00938060771603661,-0.03888609989281715,-0.0021141176459536356,0.028861649902972266,-0.0018966843395597161,-0.022760212074716592,0.4435429630573432,monthly_segmented_wls_hac,6,0.05245831009467177,0.3281323931140296
sequential_marker_subsequently_per_1k_words,marker_words,2022-11-30,83,42,41,0.06205014396677234,0.06106916046093226,0.00021968062389885642,0.002636167486786277,0.01081907337507725,0.008957992088814894,-0.006738591118999942,0.028376737869154442,0.22714092950599923,-0.0006622601256661508,-0.00794712150799381,0.00032414294014076323,0.0038897152816891587,-0.015570963460104562,-0.000323279555883058,0.04104141488662501,-0.0004425795017672944,-0.005310954021207533,0.08180914485284352,monthly_segmented_wls_hac,6,0.0692573876211797,0.2920383379362847
summary_markers_total_per_1k_words,marker_words,2022-11-30,83,42,41,0.6125491000043499,0.7034987108362167,0.004444438940516444,0.05333326728619732,-0.028842591290567862,0.02592409032013943,-0.07965380831804114,0.021968625736905417,0.265889402934356,-0.003231578751930522,-0.03877894502316626,0.0016127392291373124,0.019352870749647748,-0.07671057169247585,-0.0008473183538566745,0.04509335710039518,0.0012128601885859217,0.01455432226303106,0.4182146182499945,monthly_segmented_wls_hac,6,0.07161886127709823,0.3263188126921641
word_notably_per_1k_words,marker_words,2022-11-30,83,42,41,0.05184256526138932,0.12957575594826956,0.0001714816010467993,0.0020577792125615916,0.035829931249282285,0.02040456657024604,-0.004163019228399956,0.07582288172696452,0.07909248937734766,0.001577827199618962,0.01893392639542754,0.000797076549149474,0.009564918589793688,0.00018668595943191393,0.037681166831423175,0.047757740030140605,0.0017493088006657613,0.020991705607989138,0.7235688909632261,monthly_segmented_wls_hac,6,0.07163661004521091,0.14236648087922577
causal_marker_consequently_per_1k_words,marker_words,2022-11-30,83,42,41,0.031240511309966974,0.02870480000996649,-7.985870522371308e-06,-9.583044626845568e-05,0.0068338158173992915,0.005131561506927273,-0.0032240447361781633,0.016891676370976747,0.18295139935017776,-0.0004833766457764151,-0.0058005197493169805,0.0002655010997016816,0.0031860131964201793,-0.012045105614300533,0.00044406611566657084,0.06866462121674381,-0.0004913625162987863,-0.005896350195585437,0.15425360593779636,monthly_segmented_wls_hac,6,0.09757604067642542,0.25636534193728966
sequential_marker_additionally_per_1k_words,marker_words,2022-11-30,83,42,41,0.13953443581369276,0.23519297582701887,0.001420096278395827,0.017041155340749924,0.10976273561948155,0.04509942829649677,0.02136785615834788,0.19815761508061522,0.014941479731364135,-0.003083564390478985,-0.03700277268574782,0.0017984592660965919,0.021581511193159104,-0.07930253462433966,0.0052969892528440185,0.08642612448051892,-0.001663468112083158,-0.019961617344997896,0.523589463865846,monthly_segmented_wls_hac,6,0.11111930290352433,0.04376041552715476
word_additionally_per_1k_words,marker_words,2022-11-30,83,42,41,0.13953443581369276,0.23519297582701887,0.001420096278395827,0.017041155340749924,0.10976273561948155,0.04509942829649677,0.02136785615834788,0.19815761508061522,0.014941479731364135,-0.003083564390478985,-0.03700277268574782,0.0017984592660965919,0.021581511193159104,-0.07930253462433966,0.0052969892528440185,0.08642612448051892,-0.001663468112083158,-0.019961617344997896,0.523589463865846,monthly_segmented_wls_hac,6,0.11111930290352433,0.04376041552715476
causal_marker_thereby_per_1k_words,marker_words,2022-11-30,83,42,41,0.046836389413472755,0.0620768293379277,0.00015874765223050332,0.0019049718267660398,0.0068225578492840805,0.00833750261370673,-0.009518947273581109,0.02316406297214927,0.41318731245403434,0.0003152847661041407,0.0037834171932496887,0.00023175494488917938,0.0027810593386701525,-0.0016674591105438105,0.009234293497043187,0.1736960923305449,0.00047403241833464404,0.005688389020015729,0.2994280703908335,monthly_segmented_wls_hac,6,0.20949904450561158,0.4648357265107886
