feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,slope_change_q,level_shift_q
contrast_marker_nevertheless_per_1k_words,contrast_markers,2022-11-30,83,42,41,0.009696639598600383,0.004782400765184123,0.000349163081470988,0.004189956977651856,-0.00131168028190733,0.015072061044938342,-0.03085291992998648,0.02822955936617182,0.9306498383371361,-0.0008615631634549838,-0.010338757961459805,0.0005240205331206419,0.006288246397447702,-0.022663720900457304,0.0019862049775376915,0.10014726976817437,-0.0005124000819839959,-0.00614880098380795,0.02351327354606003,monthly_segmented_wls_hac,6,0.2080275765072045,0.9776392898567906
contrast_marker_nonetheless_per_1k_words,contrast_markers,2022-11-30,83,42,41,0.005751092707614447,0.03268698514169522,0.0005676064271838732,0.0068112771262064786,0.04358876529951808,0.02969207434505267,-0.01460770041678515,0.1017852310158213,0.14209690291184748,-0.0019146923615985174,-0.022976308339182207,0.001145222623517972,0.013742671482215665,-0.04991194444432491,0.003959327765960496,0.09454496289108605,-0.0013470859344146442,-0.01616503121297573,0.049120937524732566,monthly_segmented_wls_hac,6,0.2080275765072045,0.653381080561374
contrast_marker_alternatively_per_1k_words,contrast_markers,2022-11-30,83,42,41,0.0,0.005665561882099657,2.8018142170585706e-17,3.3621770604702844e-16,0.013314070422933994,0.011853691936752706,-0.00991916577310131,0.036547306618969294,0.2613524322245496,-0.0003642146924207476,-0.0043705763090489715,0.0003490816903798,0.0041889802845576,-0.012580977666781866,0.003839825048683924,0.2967858095644893,-0.0003642146924207196,-0.004370576309048635,0.02677615365003816,monthly_segmented_wls_hac,6,0.2967858095644893,0.653381080561374
contrast_marker_conversely_per_1k_words,contrast_markers,2022-11-30,83,42,41,0.0026632576968147435,0.034706425019567284,0.0002265959469780394,0.0027191513637364727,-0.0008244775125908974,0.02093043177834701,-0.04184812379815104,0.040199168772969245,0.9685783934469709,0.0011173291921788033,0.013407950306145638,0.0009577214863421462,0.011492657836105754,-0.009117659052621638,0.03593355966491292,0.24335029975586397,0.0013439251391568427,0.016127101669882113,0.1135664704288416,monthly_segmented_wls_hac,6,0.2967858095644893,0.9776392898567906
emphasis_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,83,42,41,0.36165836254086914,0.6234039383960761,-0.006156084488741286,-0.07387301386489543,0.08787534157890704,0.1264387842632746,-0.15994467557711117,0.33569535873492523,0.48705338580832497,0.02044513050281393,0.24534156603376717,0.005822680827360647,0.06987216992832776,0.10839211297424477,0.38229101909328955,0.0004459348876047037,0.014289046014072646,0.17146855216887175,0.18696735714083057,monthly_segmented_wls_hac,6,0.0022296744380235186,0.8117556430138749
causal_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,83,42,41,0.2979222468045378,0.37226240524672793,-0.00047868205798900625,-0.005744184695868075,0.27935349197922565,0.11384661184627898,0.05621413276051887,0.5024928511979324,0.014136705316810497,-0.008816572768117906,-0.10579887321741488,0.003902015331403476,0.04682418397684171,-0.19757427381202464,-0.014023472622805119,0.023852791923543663,-0.009295254826106913,-0.11154305791328295,0.060777172842323646,monthly_segmented_wls_hac,6,0.039754653205906106,0.07068352658405248
summary_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,83,42,41,0.5448167233756696,0.6063700449734224,0.010490051862657578,0.12588062235189093,-0.028173659525677984,0.2294499420607961,-0.47789554596483835,0.4215482269134824,0.9022751148750211,-0.016457627198896835,-0.19749152638676204,0.006879532525722064,0.08255439030866477,-0.35929813139174493,-0.035684921381779096,0.01674499730597421,-0.005967575336239258,-0.0716109040348711,0.0500916172569944,monthly_segmented_wls_hac,6,0.039754653205906106,0.9022751148750212
contrast_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,83,42,41,0.9965064344305175,1.1841094085324926,-0.0002529428185647658,-0.0030353138227771897,0.05063630201834857,0.1530427695100153,-0.2493275262212814,0.35060013025797854,0.7407474174301006,0.007022085669244235,0.08426502803093082,0.006302903362554349,0.07563484035065218,-0.06397925905634748,0.2325093151182091,0.2652348572158808,0.006769142850679468,0.08122971420815361,0.05070986231960295,monthly_segmented_wls_hac,6,0.3297396672731201,0.9022751148750212
sequential_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,83,42,41,0.9027684813824732,1.1654238966057189,2.4375780657790357e-05,0.00029250936789348427,0.4447484070170831,0.22942021168450868,-0.004915207884553907,0.8944120219187202,0.05255304633015026,-0.00871926603290875,-0.10463119239490501,0.008946154991528801,0.10735385989834562,-0.31504475779566243,0.10578237300585241,0.3297396672731201,-0.00869489025225096,-0.10433868302701152,0.07681601011295003,monthly_segmented_wls_hac,6,0.3297396672731201,0.13138261582537564
emphasis_marker_particularly_per_1k_words,emphasis_markers,2022-11-30,83,42,41,0.26218057304511017,0.39022914431832373,-0.005861958737126597,-0.07034350484551917,-0.022783129149709494,0.0927572618193893,-0.2045873623157125,0.15902110401629355,0.8059756503243299,0.018766808953033367,0.2252017074364004,0.00381172340274156,0.04574068083289872,0.1355499730039189,0.3148534418688819,8.503396367294001e-07,0.01290485021590677,0.15485820259088123,0.1586311973226,monthly_segmented_wls_hac,6,4.251698183647e-06,0.8059756503243299
