feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,placebo_year,slope_change_q
sequential_markers_total_per_1k_words,discourse_marker_totals,2021-01-01,83,19,64,0.8575226277143616,1.0844644695675858,0.0227043723084224,0.2724524677010688,-0.015293224921507545,0.20374698877686642,-0.4146373229241657,0.38405087308115066,0.9401670673218218,-0.02153835027768606,-0.25846020333223274,0.012162994926278326,0.1459559391153399,-0.544533843998299,0.027613437333833507,0.07659234031377905,0.0011660220307363398,0.013992264368836077,0.0443978029877915,monthly_segmented_wls_hac,6,2021,0.09574042539222381
causal_markers_total_per_1k_words,discourse_marker_totals,2021-01-01,83,19,64,0.27162303292686263,0.35335398992650074,-0.0009404331127898156,-0.011285197353477787,0.15188826112106468,0.09526409799948127,-0.034829370957918604,0.33860589320004797,0.11084839145393556,-0.0009578255366350515,-0.01149390643962062,0.005980557666229944,0.07176669199475932,-0.15215662274934888,0.12916880987010765,0.8727577485004032,-0.001898258649424867,-0.022779103793098405,0.017583900359504967,monthly_segmented_wls_hac,6,2021,0.8727577485004032
emphasis_marker_importantly_per_1k_words,emphasis_markers,2021-01-01,83,19,64,0.03244930250658409,0.06371682963588177,-0.004402231969527044,-0.052826783634324526,0.05369643559416648,0.029179957103606893,-0.0034962803289030273,0.110889151517236,0.06574150274376904,0.0049311913314003634,0.05917429597680436,0.0013916484046370397,0.016699780855644476,0.026442725499741186,0.09190586645386753,0.0003949768467074503,0.0005289593618733194,0.006347512342479832,0.02237155406768032,monthly_segmented_wls_hac,6,2021,0.0019748842335372517
emphasis_marker_particularly_per_1k_words,emphasis_markers,2021-01-01,83,19,64,0.3217012712165448,0.32654148174736797,-0.011727825066406673,-0.14073390079688008,-0.11564278054295538,0.11143193566290069,-0.3340493744422407,0.10276381335632997,0.29936853535770935,0.01868269942552896,0.22419239310634753,0.006585848505636443,0.07903018206763732,0.06929323625377838,0.3790915499589167,0.004556891817313024,0.006954874359122287,0.08345849230946745,0.11940012754233487,monthly_segmented_wls_hac,6,2021,0.01139222954328256
emphasis_marker_notably_per_1k_words,emphasis_markers,2021-01-01,83,19,64,0.042324199861964375,0.10553948022648961,-0.0010627778104728227,-0.012753333725673874,-0.001405159435592402,0.047347481277645244,-0.09420622273977708,0.09139590386859228,0.9763241796060423,0.0033454067364536728,0.04014488083744407,0.0021227329297752555,0.025472795157303066,-0.00978179767086993,0.09007155934575808,0.1150280137568167,0.0022826289259808502,0.027391547111770203,0.08030047457273581,monthly_segmented_wls_hac,6,2021,0.19171335626136118
emphasis_marker_crucially_per_1k_words,emphasis_markers,2021-01-01,83,19,64,0.0,0.002456761006289308,4.150771042767206e-17,4.980925251320647e-16,0.00678533992213226,0.006002341767637318,-0.004979249942436883,0.0185499297867014,0.2582871699411098,-0.0001331870435644545,-0.001598244522773454,0.00012048428215952092,0.001445811385914251,-0.004432034839165386,0.0012355457936184778,0.2689729382798741,-0.000133187043564413,-0.001598244522772956,0.01948232154024787,monthly_segmented_wls_hac,6,2021,0.30432172001547364
emphasis_marker_remarkably_per_1k_words,emphasis_markers,2021-01-01,83,19,64,0.011103708638685322,0.01745203392621871,-0.0011103708638680262,-0.013324450366416316,0.010841445435770846,0.018607287558170437,-0.025628838178243206,0.0473117290497849,0.5601322194515898,0.0012796083293011816,0.01535529995161418,0.001245712826459787,0.014948553917517444,-0.013943865726720014,0.044654465629948376,0.30432172001547364,0.00016923746543315537,0.0020308495851978645,0.003915437645889086,monthly_segmented_wls_hac,6,2021,0.30432172001547364
word_finding_per_1k_words,marker_words,2021-01-01,83,19,64,0.9972206786910021,1.2889728338002313,-0.0578477827762071,-0.6941733933144851,0.06979646913753978,0.19891066393851298,-0.32006843218194564,0.4596613704570252,0.7256682100540719,0.08069657449798233,0.9683588939757879,0.021665612045257333,0.25998734454308803,0.4587836986713355,1.4779340892802404,0.00019559524265811844,0.02284879172177523,0.27418550066130276,0.32256873043008205,monthly_segmented_wls_hac,6,2021,0.0023471429118974213
word_particularly_per_1k_words,marker_words,2021-01-01,83,19,64,0.3217012712165448,0.32654148174736797,-0.011727825066406673,-0.14073390079688008,-0.11564278054295538,0.11143193566290069,-0.3340493744422407,0.10276381335632997,0.29936853535770935,0.01868269942552896,0.22419239310634753,0.006585848505636443,0.07903018206763732,0.06929323625377838,0.3790915499589167,0.004556891817313024,0.006954874359122287,0.08345849230946745,0.11940012754233487,monthly_segmented_wls_hac,6,2021,0.027341350903878146
word_insight_per_1k_words,marker_words,2021-01-01,83,19,64,0.20935022094672714,0.3482657502889014,0.018386034663902675,0.22063241596683209,-0.09772074806928768,0.0953986725412624,-0.284702146250162,0.08926065011158663,0.30567435542442317,-0.016196435727400493,-0.1943572287288059,0.0078043115880120015,0.09365173905614402,-0.37791463727884816,-0.010799820178763637,0.0379569843377379,0.0021895989365021823,0.026275187238026187,0.0678026948339403,monthly_segmented_wls_hac,6,2021,0.1138709530132137
word_within_per_1k_words,marker_words,2021-01-01,83,19,64,0.7147147820688176,0.9046640728804649,0.024672725196879623,0.29607270236255545,0.06033920788066088,0.17346343025906874,-0.27964911542711385,0.4003275311884356,0.7279530377572748,-0.027517169622754762,-0.33020603547305716,0.01267764450581027,0.15213173406972325,-0.6283842342497147,-0.03202783669639958,0.02996694594390989,-0.0028444444258751388,-0.034133333110501665,0.037100803521668,monthly_segmented_wls_hac,6,2021,0.1138709530132137
marker_words_total_per_1k_words,marker_words,2021-01-01,83,19,64,4.026657342701317,5.715867311799918,-0.0056543520671430226,-0.06785222480571627,-0.2231926072889019,0.6295722130875153,-1.457154144940432,1.0107689303626282,0.7229531858515545,0.06606332883612781,0.7927599460335337,0.03396490455914974,0.4075788547097968,-0.006094609197668133,1.5916145012647356,0.051769346234973514,0.06040897676898479,0.7249077212278174,0.46591264509235364,monthly_segmented_wls_hac,6,2021,0.12424643096393644
word_notably_per_1k_words,marker_words,2021-01-01,83,19,64,0.042324199861964375,0.10553948022648961,-0.0010627778104728227,-0.012753333725673874,-0.001405159435592402,0.047347481277645244,-0.09420622273977708,0.09139590386859228,0.9763241796060423,0.0033454067364536728,0.04014488083744407,0.0021227329297752555,0.025472795157303066,-0.00978179767086993,0.09007155934575808,0.1150280137568167,0.0022826289259808502,0.027391547111770203,0.08030047457273581,monthly_segmented_wls_hac,6,2021,0.2300560275136334
