dependency_bigram,head_dep,child_dep,pre_count,post_count,pre_proportion,post_proportion,proportion_change,abs_proportion_change,relative_change_pct
csubj->dobj,csubj,dobj,7775.0,11688.0,0.0007693503486913474,0.0009547571871454786,0.00018540683845413115,0.00018540683845413115,24.09914270780604
agent->pobj,agent,pobj,28017.0,31678.0,0.0027723329542489366,0.002587679515263045,-0.00018465343898589138,0.00018465343898589138,-6.660579448182354
ROOT->csubj,ROOT,csubj,7481.0,11304.0,0.0007402585155704142,0.0009233893945493233,0.00018313087897890907,0.00018313087897890907,24.73877370229177
ROOT->acl,ROOT,acl,4794.0,8029.0,0.00047437499313521795,0.0006558646009232587,0.00018148960778804072,0.00018148960778804072,38.25867940224836
ccomp->attr,ccomp,attr,6869.0,6116.0,0.0006797000058084714,0.0004995974466616826,-0.00018010255914678878,0.00018010255914678878,-26.497360248300303
cc->advmod,cc,advmod,10655.0,10741.0,0.0010543315711004895,0.0008773996361336059,-0.0001769319349668836,0.0001769319349668836,-16.781431934377693
pobj->poss,pobj,poss,13883.0,14652.0,0.0013737480245507366,0.0011968773362470528,-0.00017687068830368378,0.00017687068830368378,-12.875045870331762
conj->pobj,conj,pobj,11372.0,11640.0,0.0011252800212627656,0.0009508362130709591,-0.00017444380819180648,0.00017444380819180648,-15.502257651037766
pcomp->nsubj,pcomp,nsubj,4133.0,7112.0,0.00040896784451978634,0.0005809576587079606,0.00017198981418817423,0.00017198981418817423,42.05460563534676
advcl->nsubj,advcl,nsubj,22269.0,24917.0,0.00220355793119069,0.0020353939794750075,-0.00016816395171568264,0.00016816395171568264,-7.631474050914352
ROOT->expl,ROOT,expl,7367.0,6887.0,0.0007289780088500522,0.0005625780927336508,-0.0001663999161164014,0.0001663999161164014,-22.826465832473307
conj->det,conj,det,22812.0,25616.0,0.0022572887658324136,0.0020924931644351968,-0.00016479560139721688,0.00016479560139721688,-7.300599014696541
conj->nmod,conj,nmod,12417.0,17013.0,0.0012286846661994162,0.0013897402485374766,0.00016105558233806038,0.00016105558233806038,13.1079671431271
pcomp->prep,pcomp,prep,15674.0,20927.0,0.0015509707222364217,0.001709463009530581,0.00015849228729415926,0.00015849228729415926,10.218909036891514
attr->appos,attr,appos,9712.0,9841.0,0.0009610200111241628,0.0008038813722363667,-0.0001571386388877961,0.0001571386388877961,-16.351234840987505
amod->advmod,amod,advmod,46139.0,57779.0,0.004565537715533129,0.004719790855242865,0.000154253139709736,0.000154253139709736,3.3786412317858483
acl->xcomp,acl,xcomp,4758.0,7608.0,0.0004708127278551037,0.000621474390811328,0.00015066166295622427,0.00015066166295622427,32.000337722941
relcl->acomp,relcl,acomp,6059.0,5498.0,0.0005995490370059002,0.00044911490545224516,-0.00015043413155365503,0.00015043413155365503,-25.091213940549554
nummod->advmod,nummod,advmod,7537.0,7310.0,0.0007457998171172586,0.0005971316767653533,-0.00014866814035190536,0.00014866814035190536,-19.934054278338735
prep->cc,prep,cc,10092.0,10406.0,0.0009986217001920357,0.0008500345045718558,-0.00014858719562017993,0.00014858719562017993,-14.879227598559746
ROOT->dep,ROOT,dep,14396.0,19230.0,0.0014245103047923649,0.0015708402386043424,0.00014632993381197756,0.00014632993381197756,10.27229731646669
relcl->advmod,relcl,advmod,11429.0,12090.0,0.0011309202746229467,0.0009875953450195786,-0.00014332492960336804,0.00014332492960336804,-12.673300923104694
dobj->poss,dobj,poss,7975.0,11335.0,0.000789140711358649,0.0009259216903057837,0.0001367809789471347,0.0001367809789471347,17.332901088278845
advcl->conj,advcl,conj,8776.0,12288.0,0.0008684011138411917,0.0010037693630769713,0.00013536824923577966,0.00013536824923577966,15.588216905550292
advmod->prep,advmod,prep,5873.0,5469.0,0.0005811439997253098,0.0004467459836155563,-0.0001343980161097535,0.0001343980161097535,-23.126456811612886
ccomp->conj,ccomp,conj,9149.0,9441.0,0.000905310140215709,0.0007712065882820383,-0.00013410355193367075,0.00013410355193367075,-14.812995677008299
nsubjpass->compound,nsubjpass,compound,42251.0,52820.0,0.004180813065280787,0.004314705221169077,0.00013389215588829016,0.00013389215588829016,3.2025386879931657
advcl->prep,advcl,prep,38795.0,48631.0,0.0038388355983898165,0.003972518546207372,0.00013368294781755576,0.00013368294781755576,3.4823827275549
advcl->auxpass,advcl,auxpass,8159.0,8249.0,0.0008073478450125664,0.0006738357320981394,-0.00013351211291442696,0.00013351211291442696,-16.537123835680624
prep->conj,prep,conj,8758.0,8976.0,0.0008666199812011345,0.0007332221519351314,-0.00013339782926600303,0.00013339782926600303,-15.392886404616908
nummod->amod,nummod,amod,3816.0,2997.0,0.0003776001196921134,0.00024481581877780625,-0.00013278430091430714,0.00013278430091430714,-35.16532278182975
ROOT->neg,ROOT,neg,8473.0,8665.0,0.0008384187144002298,0.000707817507410641,-0.00013060120698958882,0.00013060120698958882,-15.577086334841123
acl->prep,acl,prep,69128.0,82152.0,0.006840340952326105,0.006710747128539986,-0.0001295938237861182,0.0001295938237861182,-1.8945521091612976
appos->nummod,appos,nummod,62676.0,74374.0,0.006201903852678957,0.006075385954548068,-0.0001265178981308887,0.0001265178981308887,-2.039984835886135
appos->prep,appos,prep,31210.0,39338.0,0.0030882860942324057,0.003213401627988436,0.00012511553375603012,0.00012511553375603012,4.05129349867204
acl->aux,acl,aux,14119.0,15600.0,0.0013971006524981524,0.0012743165742188113,-0.00012278407827934104,0.00012278407827934104,-8.788491942924164
ccomp->cc,ccomp,cc,7954.0,8143.0,0.0007870627232785823,0.0006651769143502423,-0.00012188580892833996,0.00012188580892833996,-15.486162071126099
nsubj->nmod,nsubj,nmod,14113.0,18571.0,0.0013965069416181333,0.0015170085320395862,0.0001205015904214529,0.0001205015904214529,8.628785638675568
xcomp->auxpass,xcomp,auxpass,3272.0,2492.0,0.0003237703332370532,0.00020356390403546653,-0.00012020642920158669,0.00012020642920158669,-37.12706720216265
ccomp->advmod,ccomp,advmod,12673.0,13895.0,0.0012540163304135621,0.001135040307613486,-0.00011897602280007608,0.00011897602280007608,-9.487597562691944
pcomp->conj,pcomp,conj,3516.0,5664.0,0.0003479145756911611,0.00046267494079329146,0.00011476036510213038,0.00011476036510213038,32.98521335996039
advcl->nsubjpass,advcl,nsubjpass,7614.0,7820.0,0.0007534191067441697,0.0006387920263071221,-0.0001146270804370476,0.0001146270804370476,-15.214251856765065
