year,dependency_bigram,head_dep,child_dep,count,proportion,per_1k_words,paper_count,word_count,dependency_edge_count
2025,acl->auxpass,acl,auxpass,317,7.595457772489444e-05,0.07877661164646349,15004,4024037.0,4173547
2026,acl->auxpass,acl,auxpass,90,6.429526672534206e-05,0.06693609685206973,4849,1344566.0,1399792
2019,acl->cc,acl,cc,116,0.00047202825658804957,0.4876592775075566,912,237871.0,245748
2020,acl->cc,acl,cc,1655,0.00046356050318862403,0.48497486335723333,14066,3412548.0,3570192
2021,acl->cc,acl,cc,1627,0.0004818674778546798,0.5057374939541522,12748,3217084.0,3376447
2022,acl->cc,acl,cc,1384,0.0004750231848382484,0.4963549827548921,10523,2788327.0,2913542
2023,acl->cc,acl,cc,1419,0.00046332923770749004,0.4814647930142478,11046,2947256.0,3062617
2024,acl->cc,acl,cc,1675,0.0004645164868687429,0.4809811441033865,12862,3482465.0,3605900
2025,acl->cc,acl,cc,2023,0.00048471959223173955,0.5027289759015636,15004,4024037.0,4173547
2026,acl->cc,acl,cc,674,0.00048150010858756157,0.5012769919810556,4849,1344566.0,1399792
2019,acl->ccomp,acl,ccomp,27,0.00010986864592997705,0.11350690079917267,912,237871.0,245748
2020,acl->ccomp,acl,ccomp,299,8.374899725280881e-05,0.08761781519263612,14066,3412548.0,3570192
2021,acl->ccomp,acl,ccomp,280,8.292740860437022e-05,0.08703534007815775,12748,3217084.0,3376447
2022,acl->ccomp,acl,ccomp,241,8.27171875332499e-05,0.0864317563901221,10523,2788327.0,2913542
2023,acl->ccomp,acl,ccomp,235,7.673176241103606e-05,0.07973518418488248,11046,2947256.0,3062617
2024,acl->ccomp,acl,ccomp,240,6.655758617820794e-05,0.06891670124466434,12862,3482465.0,3605900
2025,acl->ccomp,acl,ccomp,255,6.109910826450499e-05,0.06336919864305424,15004,4024037.0,4173547
2026,acl->ccomp,acl,ccomp,88,6.286648302033445e-05,0.06544862803313485,4849,1344566.0,1399792
2019,acl->compound,acl,compound,7,2.848446375962368e-05,0.029427715022007726,912,237871.0,245748
2020,acl->compound,acl,compound,26,7.282521500244244e-06,0.0076189404515335755,14066,3412548.0,3570192
2021,acl->compound,acl,compound,26,7.700402227548663e-06,0.008081853007257505,12748,3217084.0,3376447
2022,acl->compound,acl,compound,17,5.834822357117213e-06,0.006096845886440149,10523,2788327.0,2913542
2023,acl->compound,acl,compound,15,4.897772068789535e-06,0.005089479841588244,11046,2947256.0,3062617
2024,acl->compound,acl,compound,26,7.21040516930586e-06,0.00746597596817197,12862,3482465.0,3605900
2025,acl->compound,acl,compound,33,7.906943422465351e-06,0.008200719824395252,15004,4024037.0,4173547
2026,acl->compound,acl,compound,7,5.000742967526604e-06,0.00520614086627209,4849,1344566.0,1399792
2019,acl->conj,acl,conj,114,0.0004638898383710142,0.4792513589298401,912,237871.0,245748
2020,acl->conj,acl,conj,1597,0.0004473148783034638,0.4679787654268892,14066,3412548.0,3570192
2021,acl->conj,acl,conj,1562,0.0004626164722858081,0.4855328614360085,12748,3217084.0,3376447
2022,acl->conj,acl,conj,1362,0.00046747223825844967,0.48846494690185194,10523,2788327.0,2913542
2023,acl->conj,acl,conj,1383,0.0004515745847423951,0.46925004139443605,11046,2947256.0,3062617
2024,acl->conj,acl,conj,1647,0.000456751435147952,0.472940862291509,12862,3482465.0,3605900
2025,acl->conj,acl,conj,2017,0.00048328196615492766,0.5012379359334918,15004,4024037.0,4173547
2026,acl->conj,acl,conj,670,0.0004786425411775464,0.4983020543431858,4849,1344566.0,1399792
2020,acl->csubj,acl,csubj,14,3.921357730900747e-06,0.004102506396979617,14066,3412548.0,3570192
2021,acl->csubj,acl,csubj,18,5.331047695995228e-06,0.005595129005024426,12748,3217084.0,3376447
2022,acl->csubj,acl,csubj,13,4.461922978971987e-06,0.004662293913160113,10523,2788327.0,2913542
2023,acl->csubj,acl,csubj,18,5.877326482547442e-06,0.006107375809905892,11046,2947256.0,3062617
2024,acl->csubj,acl,csubj,11,3.050556033167864e-06,0.003158682140380449,12862,3482465.0,3605900
2025,acl->csubj,acl,csubj,22,5.271295614976901e-06,0.005467146549596835,15004,4024037.0,4173547
2026,acl->csubj,acl,csubj,10,7.143918525038006e-06,0.007437344094674415,4849,1344566.0,1399792
2020,acl->csubjpass,acl,csubjpass,2,5.601939615572496e-07,0.0005860723424256596,14066,3412548.0,3570192
2021,acl->csubjpass,acl,csubjpass,4,1.1846772657767174e-06,0.0012433620011165392,12748,3217084.0,3376447
2022,acl->csubjpass,acl,csubjpass,1,3.4322484453630666e-07,0.00035863799332000874,10523,2788327.0,2913542
2024,acl->csubjpass,acl,csubjpass,2,5.546465514850662e-07,0.0005743058437055362,12862,3482465.0,3605900
2025,acl->csubjpass,acl,csubjpass,2,4.792086922706273e-07,0.0004970133226906213,15004,4024037.0,4173547
2019,acl->dative,acl,dative,3,1.2207627325553006e-05,0.01261187786657474,912,237871.0,245748
2020,acl->dative,acl,dative,50,1.400484903893124e-05,0.014651808560641492,14066,3412548.0,3570192
2021,acl->dative,acl,dative,62,1.836249761953912e-05,0.019272111017306356,12748,3217084.0,3376447
2022,acl->dative,acl,dative,49,1.6818017382279027e-05,0.01757326167268043,10523,2788327.0,2913542
2023,acl->dative,acl,dative,43,1.404027993053e-05,0.014589842212552964,11046,2947256.0,3062617
