feature,diff,p_value,cohens_d,slope,slope_p,change_point,its_pre_slope,its_pre_slope_p,its_level_shift,its_level_shift_p,its_slope_change,its_slope_change_p,its_post_slope,its_r_squared,p_adj
marker_adjectives_total_per_1k_words,21.029674137953272,0.7591172795399305,0.2596198954277703,-0.055231886641233144,0.6802904688008339,2024,-0.32153950689186594,0.33235646013406916,1.3492978220403704,0.4956839648728415,0.3215395068918667,0.6109711096028279,7.771561172376096e-16,0.11785891755038569,1.0
dependency_length_std,3.8094217477840986,0.7605807021403294,0.20342479572402353,0.0015929144429738748,0.9435904857379114,2026,-0.022359630824480288,0.6770891608497467,-0.0856064124610041,0.7919895118054927,0.10940724869585587,0.30970986828380576,0.08704761787137558,0.13017974226120987,1.0
sequential_marker_subsequently_per_1k_words,-21.6931216931217,0.7704601219112043,-0.14438839706622547,-0.008833704485878408,0.9214864345994862,2026,0.12065637065637072,0.589437107762226,-0.7478596609031388,0.5815227005328456,-0.12065637065637097,0.780402780629228,-2.498001805406602e-16,0.0560496087083997,1.0
clause_depth,0.4092769440654843,0.891027823829154,0.08841905404064594,0.030594405594405596,0.7359584741118482,2024,-0.10714285714285722,0.6333103704261862,0.5928571428571421,0.6630531440379368,0.20714285714285768,0.6360646991470049,0.10000000000000046,0.07176540519120234,1.0
emphasis_markers_total_per_1k_words,-4.828688638339466,0.9366698091363725,-0.037826293192186215,-0.03579583731122304,0.7623788882017857,2019,3.469446951953614e-18,1.0,-0.04138705631456524,0.9818371071779093,-0.09765625000000007,0.8673572161373451,-0.09765625000000007,0.013506628728058634,1.0
flesch_reading_ease,1.0131936816340759,0.938299867256237,0.048142369198749674,-0.18963441443643778,0.7616360017214291,2019,-1.222341982642001,0.4175234842778015,9.66489496817916,0.2975636135304023,-0.47685510421643673,0.8684184883441657,-1.6991970868584376,0.1426959340547833,1.0
word_interplay_per_1k_words,0.0,,0.0,0.0,1.0,2026,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
word_realm_per_1k_words,0.0,,0.0,0.0,1.0,2026,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
word_meticulously_per_1k_words,0.0,,0.0,0.0,1.0,2026,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
verb_delve_per_1k_words,0.0,,0.0,0.0,1.0,2026,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
verb_underscore_per_1k_words,0.0,,0.0,0.0,1.0,2026,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
verb_showcase_per_1k_words,0.0,,0.0,0.0,1.0,2026,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
verb_enhance_per_1k_words,0.0,,0.0,0.0,1.0,2026,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
verb_garner_per_1k_words,0.0,,0.0,0.0,1.0,2026,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
verb_foster_per_1k_words,0.0,,0.0,0.0,1.0,2026,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
adjective_pivotal_per_1k_words,0.0,,0.0,0.0,1.0,2026,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
adjective_intricate_per_1k_words,0.0,,0.0,0.0,1.0,2026,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
phrase_meticulously_delve_per_1k_words,0.0,,0.0,0.0,1.0,2026,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
phrase_intricate_web_per_1k_words,0.0,,0.0,0.0,1.0,2026,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
phrase_comprehensive_chapter_per_1k_words,0.0,,0.0,0.0,1.0,2026,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
phrase_deep_dive_per_1k_words,0.0,,0.0,0.0,1.0,2026,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
