feature,diff,p_value,cohens_d,slope,slope_p,change_point,its_pre_slope,its_pre_slope_p,its_level_shift,its_level_shift_p,its_slope_change,its_slope_change_p,its_post_slope,its_r_squared,p_adj
dependency_entropy,-0.26485160192771234,0.12957698540014986,-1.4229685344285918,-0.0038786863603741087,0.027402522438954063,2026.0,-0.01592823279326705,0.004643032695623939,0.016922786795808338,0.06634218388567326,0.015166401968517642,0.007674230521879766,-0.0007618308247494075,0.9425927899598218,1.0
coordination_count,5.060350512713883,0.13737045849121063,1.2277117030137783,0.39915030779669874,0.011681786759061915,2023.0,0.648717948717948,0.3491930437557753,-0.45152300904552,0.7760024959609233,-0.283816734034043,0.6940018291804346,0.36490121468390496,0.6947449170027753,1.0
list_of_three,13.564170172886499,0.15833363889000898,1.2168505150601794,0.19710687907287439,0.01915645680429675,2026.0,0.5782051282051283,0.11379379451781046,-0.7173920147256407,0.35973073975303826,-0.42502745412449433,0.24719352690517726,0.15317767408063393,0.7475144747758915,1.0
contrast_marker_conversely_per_1k_words,38.61655210253289,0.166705275018777,1.1132738284295427,0.0027420876191358553,0.4435830318048466,2026.0,0.015082956259426846,0.44135333695124324,-0.027040662344654673,0.5617492942702365,-0.012620460612292463,0.5498957319390283,0.002462495647134383,0.20329886563856236,1.0
word_within_per_1k_words,14.799806773871287,0.17540331081743063,1.1049902605054374,0.05109189013692117,0.06392192168187429,2026.0,0.18853970689487018,0.12539048145119347,-0.1878082197107276,0.47115095806456875,-0.17456986624013612,0.17764250980292617,0.013969840654734056,0.6796898977146257,1.0
clause_depth_std,-1.4723415717055983,0.17625104322080776,-1.185265618109529,-0.017808243118887904,0.04776717756150321,2026.0,-0.013637538005993183,0.6346974344421887,0.06927679564842855,0.34216445727135847,-0.027789823284191696,0.39360690523044894,-0.04142736129018488,0.7854671698551662,1.0
sentence_depth_std,-1.4723415717055983,0.17625104322080776,-1.185265618109529,-0.017808243118887904,0.04776717756150321,2026.0,-0.013637538005993183,0.6346974344421887,0.06927679564842855,0.34216445727135847,-0.027789823284191696,0.39360690523044894,-0.04142736129018488,0.7854671698551662,1.0
summary_marker_taken_together_per_1k_words,78.1117259990596,0.17915175176195205,1.1974700729936583,0.006571634135968768,0.21800520045181626,2026.0,1.214306433183765e-17,0.9999999999999996,0.034335877538143586,0.606221674442649,0.0007395820869844263,0.9800498147619037,0.0007395820869844384,0.3187464936581007,1.0
verb_align_per_1k_words,70.541833829721,0.1897029195013545,1.1649041028508773,0.0337143523025262,0.016031748671447844,2026.0,-4.85722573273506e-17,0.9999999999999991,-0.019633990630537362,0.8548093416991094,0.06253030905740532,0.2414053866073309,0.06253030905740528,0.8127756076783487,1.0
adjective_potential_per_1k_words,21.351691048116503,0.19995934032676657,1.1067295992515203,0.10523694153977492,0.16660334980621735,2026.0,0.40720221811064083,0.29496788802122786,-0.5042904066810908,0.5714610578279129,-0.3560145426347276,0.3910066944716004,0.05118767547591324,0.42517376455430644,1.0
verb_garner_per_1k_words,99.99999999999999,0.21435966708304485,1.110405402929004,0.0005701837760830177,0.6404273632646665,2026.0,1.5178830414797062e-18,0.9999999999999998,0.009542235495271245,0.5234897857626124,-0.00190476190476191,0.7733292753012364,-0.0019047619047619084,0.27767220475905097,1.0
colon_per_1k_words,3.5129834454761104,0.21601814434477012,0.9942186583081644,0.035529504540906524,0.5408704217226225,2026.0,-0.3908716502396338,0.09192569285895158,0.57340488551633,0.25227087086440037,0.544332474376409,0.04852440245738987,0.15346082413677514,0.69030527837962,1.0
