family,dataset_a,dataset_b,n_features,pearson_r,pearson_p,same_direction_share,median_abs_difference
discourse_marker_totals,arxiv_ai_titles,arxiv_qbio_titles,4,-0.28877739325809054,0.7112226067419094,0.25,0.0806507699893031
discourse_marker_totals,arxiv_ai_titles,arxiv_qbio_abstracts,4,-0.4159718667809313,0.5840281332190687,0.25,0.9493439306457803
discourse_marker_totals,arxiv_ai_abstracts,arxiv_ai_titles,4,-0.47621199592275004,0.52378800407725,0.25,1.6906166007674326
discourse_marker_totals,arxiv_ai_abstracts,arxiv_qbio_titles,4,-0.6580885153583794,0.3419114846416207,0.5,1.5756168525016627
discourse_marker_totals,arxiv_qbio_abstracts,arxiv_qbio_titles,4,-0.6869350764210066,0.3130649235789935,0.5,0.8163548203363542
discourse_marker_totals,arxiv_qbio_titles,arxiv_stat_abstracts,4,-0.8120029087506656,0.1879970912493345,0.5,0.762653964575035
discourse_marker_totals,arxiv_qbio_titles,medarxiv_abstracts,4,-0.8676190980509424,0.1323809019490576,0.25,1.2978068451271132
discourse_marker_totals,arxiv_qbio_titles,medarxiv_titles,4,-0.9566433532219247,0.04335664677807527,0.0,0.20716687445278142
emphasis_markers,arxiv_ai_abstracts,medarxiv_titles,2,1.0,1.0,0.5,0.9515137960915866
emphasis_markers,arxiv_qbio_abstracts,medarxiv_titles,2,1.0,1.0,0.5,0.4260126005034326
emphasis_markers,arxiv_stat_abstracts,medarxiv_titles,2,1.0,1.0,1.0,0.6889291147363935
emphasis_markers,medarxiv_abstracts,medarxiv_titles,2,1.0,1.0,0.5,1.538575828781864
emphasis_markers,arxiv_ai_abstracts,arxiv_qbio_abstracts,5,0.9760507690951432,0.004433073057005294,1.0,0.2552127193746862
emphasis_markers,arxiv_qbio_abstracts,arxiv_stat_abstracts,5,0.9322009569866669,0.02097502581645999,0.8,0.2514665454533605
emphasis_markers,arxiv_ai_abstracts,arxiv_stat_abstracts,5,0.8631942366340764,0.05948006272615863,0.8,0.1464343242959798
emphasis_markers,arxiv_stat_abstracts,medarxiv_abstracts,5,0.8614312618082807,0.060616717411645295,0.6,0.5886739208519055
emphasis_markers,arxiv_qbio_abstracts,medarxiv_abstracts,5,0.8114340184082885,0.09546556224806574,0.8,0.337207375398545
emphasis_markers,arxiv_ai_abstracts,medarxiv_abstracts,5,0.6673652041153646,0.21843939171651938,0.8,0.5337673627117951
marker_words,arxiv_qbio_abstracts,arxiv_stat_titles,8,0.9744535461342431,4.0885890570119236e-05,0.625,0.9937479479628294
marker_words,arxiv_ai_abstracts,arxiv_stat_abstracts,12,0.9730649253462912,1.0671970126385893e-07,0.8333333333333334,0.7482053848507539
marker_words,arxiv_ai_abstracts,arxiv_qbio_abstracts,12,0.9729811058333184,1.0837528040825008e-07,1.0,0.643618958977919
marker_words,arxiv_qbio_abstracts,arxiv_stat_abstracts,12,0.962619206903542,5.398110243816636e-07,0.8333333333333334,0.2949873572113409
marker_words,arxiv_ai_abstracts,arxiv_stat_titles,8,0.9353369737792363,0.0006435826110158129,0.625,1.728874038864083
marker_words,arxiv_ai_abstracts,medarxiv_abstracts,12,0.9030152788395512,5.7311561070827596e-05,0.8333333333333334,0.7192623252683279
marker_words,arxiv_qbio_titles,medarxiv_titles,8,0.8979837117794609,0.00245534908269857,0.75,0.26243391533122123
marker_words,arxiv_ai_titles,arxiv_qbio_titles,8,0.8939622243128091,0.002748699739821298,0.875,0.0959282695212628
marker_words,arxiv_ai_titles,arxiv_qbio_abstracts,9,0.8897936894893531,0.0013115520635167243,0.7777777777777778,0.9564115162471745
marker_words,arxiv_stat_abstracts,arxiv_stat_titles,8,0.8856207052541953,0.0034273785468274406,0.75,1.288951313502352
marker_words,arxiv_ai_titles,arxiv_stat_titles,8,0.8854183022949267,0.003445061031109446,0.875,0.10764982267262521
marker_words,arxiv_qbio_abstracts,medarxiv_abstracts,12,0.8791506602287134,0.00016516951920378186,0.8333333333333334,0.48188190214103144
marker_words,arxiv_stat_abstracts,medarxiv_abstracts,12,0.8743734300880747,0.00019883323194162922,0.6666666666666666,0.6038161068060892
marker_words,arxiv_ai_titles,arxiv_stat_abstracts,9,0.8567730908478123,0.0031735577051434176,0.8888888888888888,1.0169734353122044
marker_words,arxiv_ai_abstracts,arxiv_ai_titles,9,0.8414512276480862,0.004458545864089465,0.7777777777777778,1.7522011880487962
marker_words,arxiv_ai_titles,medarxiv_titles,8,0.7559854579367101,0.030000287154574184,0.625,0.35719606290865885
marker_words,arxiv_stat_titles,medarxiv_abstracts,8,0.7275100270867687,0.04080763261898577,0.75,1.9243804477118098
marker_words,arxiv_qbio_titles,arxiv_stat_titles,8,0.668809086638995,0.06975419877349563,0.75,0.16127500176037024
marker_words,arxiv_qbio_abstracts,arxiv_qbio_titles,8,0.6671099032246699,0.07073142450615476,0.625,0.9557555444548718
marker_words,arxiv_qbio_abstracts,medarxiv_titles,10,0.6532190044682353,0.04055699338180344,0.6,0.6322637040530692
marker_words,arxiv_qbio_titles,arxiv_stat_abstracts,8,0.6139332701036272,0.10541849133136913,0.75,1.2272722087583177
marker_words,arxiv_ai_titles,medarxiv_abstracts,9,0.6107049154199513,0.08065536279819475,0.6666666666666666,1.999679729522171
marker_words,arxiv_ai_abstracts,arxiv_qbio_titles,8,0.5767354641875716,0.1344874792917472,0.625,1.6908816353561256
marker_words,arxiv_stat_abstracts,medarxiv_titles,10,0.5724572856304521,0.0837280447643795,0.8,0.9739724109968445
marker_words,arxiv_ai_abstracts,medarxiv_titles,10,0.5714240611788642,0.08441663878226613,0.6,1.3673897949543228
marker_words,arxiv_stat_titles,medarxiv_titles,8,0.5429537000095007,0.16434459897061096,0.5,0.43824558463897767
marker_words,medarxiv_abstracts,medarxiv_titles,10,0.5205253697623303,0.1229451043232016,0.5,1.20111096646266
marker_words,arxiv_qbio_titles,medarxiv_abstracts,8,0.3439612172164656,0.4041345677301174,0.5,2.04043401482516
other,arxiv_ai_abstracts,arxiv_qbio_abstracts,2,1.0,1.0,1.0,0.6021747667316426
other,arxiv_ai_abstracts,arxiv_qbio_titles,2,1.0,1.0,0.5,1.1977506312775272
other,arxiv_ai_abstracts,arxiv_stat_abstracts,2,1.0,1.0,1.0,0.3650091325826605
other,arxiv_ai_abstracts,medarxiv_abstracts,2,1.0,1.0,0.5,1.2000260398753313
other,arxiv_ai_abstracts,medarxiv_titles,2,1.0,1.0,0.5,1.1581163355459116
other,arxiv_ai_titles,arxiv_stat_titles,2,1.0,1.0,0.0,0.2707118030466068
