dataset,dependency_bigram,head_dep,child_dep,slope_change_per_year,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high
arxiv_ai_abstracts,acomp->meta,acomp,meta,-2.3629008213568492e-07,2.977334172268911e-07,-8.198475799003914e-07,3.472674156290216e-07
arxiv_ai_abstracts,acomp->neg,acomp,neg,-1.4171627073093306e-06,7.696370972203956e-07,-2.9256514178613064e-06,9.132600324264494e-08
arxiv_ai_abstracts,acomp->nmod,acomp,nmod,-6.202275161347859e-08,4.024783382415705e-07,-8.508802945669568e-07,7.268347913399996e-07
arxiv_ai_abstracts,acomp->npadvmod,acomp,npadvmod,5.072116890586303e-07,8.783777010621108e-06,-1.6708991251758742e-05,1.7723414629876002e-05
arxiv_ai_abstracts,acomp->nsubj,acomp,nsubj,-1.349793904502003e-07,5.14326311537587e-07,-1.1430589610638707e-06,8.731001801634701e-07
arxiv_ai_abstracts,acomp->nsubjpass,acomp,nsubjpass,-5.575483747606603e-08,5.311046261507804e-07,-1.0967199047315957e-06,9.852102297794635e-07
arxiv_ai_abstracts,acomp->nummod,acomp,nummod,6.203189754757518e-07,1.9114337268654922e-07,2.456779650101153e-07,9.949599859413882e-07
arxiv_ai_abstracts,acomp->oprd,acomp,oprd,-8.54550671279114e-09,2.1605423766961813e-07,-4.320118125452427e-07,4.149207991196604e-07
arxiv_ai_abstracts,acomp->parataxis,acomp,parataxis,1.3495255275798408e-07,3.400782458242354e-07,-5.316008090575173e-07,8.015059145734855e-07
arxiv_ai_abstracts,acomp->pcomp,acomp,pcomp,-1.6092525720051016e-06,8.834398503057719e-07,-3.3407946786044146e-06,1.2228953459421142e-07
arxiv_ai_abstracts,acomp->pobj,acomp,pobj,-1.6496949398716668e-06,7.437873244936871e-07,-3.1075180958792935e-06,-1.9187178386404014e-07
arxiv_ai_abstracts,acomp->poss,acomp,poss,1.2243198478941733e-07,4.8615306790958725e-08,2.714598347913823e-08,2.1771798609969643e-07
arxiv_ai_abstracts,acomp->preconj,acomp,preconj,2.7543739437987634e-07,1.4594078125515045e-06,-2.5850019182210724e-06,3.135876706980825e-06
arxiv_ai_abstracts,acomp->prep,acomp,prep,-0.00012486596542608764,2.2347918791297355e-05,-0.00016866788625703047,-8.106404459514482e-05
arxiv_ai_abstracts,acomp->prt,acomp,prt,3.7810663457880187e-07,3.1808077289453344e-07,-2.453316802944837e-07,1.0015449494520875e-06
arxiv_ai_abstracts,acomp->quantmod,acomp,quantmod,1.3041259761435444e-07,5.305574399341561e-08,2.6423339387259847e-08,2.3440185584144903e-07
arxiv_ai_abstracts,acomp->relcl,acomp,relcl,-1.4570489351494432e-06,4.639290093328132e-07,-2.366349793441757e-06,-5.477480768571293e-07
arxiv_ai_abstracts,acomp->xcomp,acomp,xcomp,-0.00010445098583308481,2.6180656397108766e-05,-0.00015576507237141798,-5.313689929475163e-05
arxiv_ai_abstracts,advcl->acl,advcl,acl,2.602338682393059e-06,6.303239184190852e-07,1.3669038022916519e-06,3.837773562494466e-06
arxiv_ai_abstracts,advcl->acomp,advcl,acomp,2.0085334901378583e-05,2.224501167935479e-05,-2.3514887990156808e-05,6.368555779291397e-05
arxiv_ai_abstracts,advcl->advcl,advcl,advcl,0.0001039481550586191,1.7026892409662714e-05,7.05754459356802e-05,0.000137320864181558
arxiv_ai_abstracts,advcl->advmod,advcl,advmod,2.0499666120162604e-05,3.088810991344892e-05,-4.004102931019728e-05,8.104036155052248e-05
arxiv_ai_abstracts,advcl->agent,advcl,agent,-3.7249251781162605e-06,3.837917924792891e-06,-1.1247244310710327e-05,3.7973939544778055e-06
arxiv_ai_abstracts,advcl->amod,advcl,amod,1.1226696376069741e-05,2.9185816903750698e-06,5.506276262934605e-06,1.6947116489204878e-05
arxiv_ai_abstracts,advcl->appos,advcl,appos,4.0115165356207904e-06,6.147466926686133e-07,2.806613017990308e-06,5.216420053251273e-06
arxiv_ai_abstracts,advcl->attr,advcl,attr,-2.9173055909903484e-05,6.13966952184117e-06,-4.120680817271218e-05,-1.713930364709479e-05
arxiv_ai_abstracts,advcl->aux,advcl,aux,-0.0005552345568479571,9.426756862971647e-05,-0.0007399989913622014,-0.00037047012233371284
arxiv_ai_abstracts,advcl->auxpass,advcl,auxpass,-3.178304703002258e-05,1.6410277437397824e-05,-6.394719080732232e-05,3.810967472771566e-07
arxiv_ai_abstracts,advcl->case,advcl,case,-8.641410124398074e-09,4.931349678855532e-08,-1.052958638299665e-07,8.801304358117035e-08
arxiv_ai_abstracts,advcl->cc,advcl,cc,5.4239591314315906e-05,1.4338667018310777e-05,2.613580395842678e-05,8.234337867020502e-05
arxiv_ai_abstracts,advcl->ccomp,advcl,ccomp,0.0001133751425037573,1.0534818051870348e-05,9.272689912209142e-05,0.00013402338588542318
arxiv_ai_abstracts,advcl->compound,advcl,compound,1.6672493426548426e-05,2.964840288446592e-06,1.0861406461193106e-05,2.2483580391903745e-05
arxiv_ai_abstracts,advcl->conj,advcl,conj,9.209238371992234e-05,2.1688258050563536e-05,4.958339794081781e-05,0.00013460136949902687
arxiv_ai_abstracts,advcl->csubj,advcl,csubj,2.911560724294551e-06,1.0995499189540308e-06,7.564428831446507e-07,5.066678565444452e-06
arxiv_ai_abstracts,advcl->csubjpass,advcl,csubjpass,-9.119894158655496e-08,2.3513726739015768e-07,-5.520679856712641e-07,3.696701024981541e-07
arxiv_ai_abstracts,advcl->dative,advcl,dative,-2.846018884772087e-06,9.943607042744812e-07,-4.7949658651500705e-06,-8.970719043941037e-07
arxiv_ai_abstracts,advcl->dep,advcl,dep,5.451402046366627e-06,3.0150731460092694e-06,-4.5814131981154096e-07,1.1360945412544796e-05
arxiv_ai_abstracts,advcl->det,advcl,det,2.2900749325597596e-06,1.7737046170044427e-06,-1.1863861167689477e-06,5.766535981888467e-06
arxiv_ai_abstracts,advcl->dobj,advcl,dobj,0.0009472507570364847,0.00026891381106522856,0.0004201796873486367,0.0014743218267243327
arxiv_ai_abstracts,advcl->expl,advcl,expl,-2.0412149583757002e-05,3.425368956696902e-06,-2.712587273888293e-05,-1.3698426428631074e-05
arxiv_ai_abstracts,advcl->intj,advcl,intj,-3.513985564773439e-07,6.111593844914877e-07,-1.5492709500806598e-06,8.464738371259719e-07
arxiv_ai_abstracts,advcl->mark,advcl,mark,0.00041903538426018325,5.811261268450487e-05,0.0003051346633985537,0.0005329361051218128
arxiv_ai_abstracts,advcl->meta,advcl,meta,-3.5115091996441035e-06,1.467433065101051e-06,-6.3876780072421635e-06,-6.353403920460439e-07
