dataset,dependency_role,slope_change_per_year,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high
arxiv_qbio_abstracts,amod,0.00805459941823074,0.000936819252468783,0.006218433683391926,0.009890765153069556
arxiv_qbio_abstracts,appos,0.0010848730473089828,0.00013354205218009743,0.0008231306250359918,0.0013466154695819738
arxiv_qbio_abstracts,attr,-0.0003980631487228488,6.104687323712356e-05,-0.000517715020267611,-0.00027841127717808664
arxiv_qbio_abstracts,aux,-0.0030656640072663994,0.0002509301867505093,-0.0035574871732973975,-0.002573840841235401
arxiv_qbio_abstracts,auxpass,-0.0007278408059914303,0.00024210821098638238,-0.0012023728995247398,-0.0002533087124581208
arxiv_qbio_abstracts,case,-8.074418361848324e-05,4.537465253627899e-05,-0.00016967850258959005,8.190135352623574e-06
arxiv_qbio_abstracts,cc,0.0005905419521187935,0.0002143944770177552,0.00017032877716399334,0.0010107551270735937
arxiv_qbio_abstracts,ccomp,0.0005557490374250816,0.00018328249216980973,0.00019651535277225452,0.0009149827220779087
arxiv_qbio_abstracts,compound,0.0032469155715681205,0.0007131818723750774,0.001849079101712969,0.004644752041423272
arxiv_qbio_abstracts,conj,0.00115071305617643,0.00033020047541212325,0.0005035201243686685,0.0017979059879841917
arxiv_qbio_abstracts,csubj,8.033737472307547e-05,2.7689034332112418e-05,2.606686743213513e-05,0.00013460788201401583
arxiv_qbio_abstracts,csubjpass,-3.3740411923361464e-06,6.735418002384263e-06,-1.6575460477009303e-05,9.82737809233701e-06
arxiv_qbio_abstracts,dative,-5.29581050562667e-06,8.78179472095797e-06,-2.250812815870429e-05,1.191650714745095e-05
arxiv_qbio_abstracts,dep,8.614298112933754e-05,3.0811816093097024e-05,2.575182158686737e-05,0.0001465341406718077
arxiv_qbio_abstracts,det,-0.0056094703494791575,0.0008157341911245105,-0.007208309364083198,-0.004010631334875117
arxiv_qbio_abstracts,dobj,0.0013507079041891433,0.0007299183281111368,-7.993201890868474e-05,0.0027813478272869716
arxiv_qbio_abstracts,expl,-0.0001313880417314097,2.1801795173200614e-05,-0.0001741195602708829,-8.86565231919365e-05
arxiv_qbio_abstracts,intj,-2.3884036482969176e-06,8.001637127960235e-06,-1.8071612419098978e-05,1.3294805122505142e-05
arxiv_qbio_abstracts,mark,0.0005572605672562502,0.00014541293747210026,0.0002722512098109337,0.0008422699247015667
arxiv_qbio_abstracts,meta,-8.301229920996481e-06,2.0280488977943187e-05,-4.805098831776513e-05,3.1448528475772164e-05
arxiv_qbio_abstracts,neg,-2.514404047285936e-05,4.545800518403772e-05,-0.00011424173063357329,6.395364968785457e-05
arxiv_qbio_abstracts,nmod,0.000769758345408537,0.00012625499338249943,0.0005222985583788381,0.001017218132438236
arxiv_qbio_abstracts,npadvmod,0.001302913020293197,0.00014963351470557315,0.0010096313314702735,0.0015961947091161204
arxiv_qbio_abstracts,nsubj,0.0014638007220758318,0.0003744792481083316,0.0007298213957835019,0.0021977800483681618
arxiv_qbio_abstracts,nsubjpass,-0.0006652558444344902,0.00022140711293424623,-0.0010992137857856127,-0.00023129790308336763
arxiv_qbio_abstracts,nummod,0.000505478549688161,0.0003491958752376727,-0.00017894536577767748,0.0011899024651539996
arxiv_qbio_abstracts,oprd,-2.7362229804655868e-05,2.0580275691418167e-05,-6.769957015983547e-05,1.2975110550523736e-05
arxiv_qbio_abstracts,parataxis,1.7132282966512548e-05,6.302972398498399e-06,4.7784570654556864e-06,2.9486108867569407e-05
arxiv_qbio_abstracts,pcomp,-0.0005044637968499806,0.00017604703289685213,-0.0008495159813278108,-0.00015941161237215037
arxiv_qbio_abstracts,pobj,-0.003829693554965879,0.0005556752921225149,-0.004918817127526009,-0.0027405699824057496
arxiv_qbio_abstracts,poss,-0.0007725849663136626,0.00023881181367038082,-0.001240656121107609,-0.00030451381151971624
arxiv_qbio_abstracts,preconj,6.398262229446147e-05,3.263676721021108e-05,1.455856244774931e-08,0.0001279506860264752
arxiv_qbio_abstracts,predet,-4.6638698598604566e-05,1.2162711098291973e-05,-7.047761235125683e-05,-2.27997848459523e-05
arxiv_qbio_abstracts,prep,-0.004625930722604924,0.0005990854441856162,-0.005800138193208732,-0.0034517232520011164
arxiv_qbio_abstracts,prt,-6.924996178684949e-05,2.0763130846967268e-05,-0.00010994569824690533,-2.8554225326793646e-05
arxiv_qbio_abstracts,quantmod,0.00010794438496101105,5.600665482924924e-05,-1.828658504317464e-06,0.00021771742842633957
arxiv_qbio_abstracts,relcl,-4.108847903510661e-05,9.676797891884357e-05,-0.00023075371771604002,0.0001485767596458268
arxiv_qbio_abstracts,xcomp,-0.000987308850504296,9.418410770470161e-05,-0.0011719097016055112,-0.0008027079994030809
arxiv_qbio_titles,ROOT,-0.00014950903488835168,0.0005075647042997716,-0.0011443358553159038,0.0008453177855392005
arxiv_qbio_titles,acl,-0.0014591331191222397,0.0003147049569528162,-0.0020759548347497594,-0.0008423114034947199
arxiv_qbio_titles,acomp,4.3705716325659206e-05,4.6653440911931865e-05,-4.773502786172725e-05,0.00013514646051304566
arxiv_qbio_titles,advcl,-9.208046999596622e-05,0.0001316759042014375,-0.0003501652422307837,0.00016600430223885127
arxiv_qbio_titles,advmod,0.0005341422499353802,0.00017307661632817882,0.00019491208193214964,0.0008733724179386107
arxiv_qbio_titles,agent,-5.276880826135378e-05,8.943892711765098e-05,-0.0002280691054119497,0.00012253148888924213
arxiv_qbio_titles,amod,0.00450183006650608,0.0027734200132422606,-0.0009340731594487508,0.00993773329246091
arxiv_qbio_titles,appos,0.0006483711047118451,0.0005943744214962545,-0.0005166027614208137,0.001813344970844504
arxiv_qbio_titles,attr,0.00018239381674360242,6.058043449098562e-05,6.36561651412706e-05,0.00030113146834593425
arxiv_qbio_titles,aux,-0.0007954907931072361,0.0001800367833148174,-0.001148362888404278,-0.000442618697810194
arxiv_qbio_titles,auxpass,8.768255006634588e-05,7.249303843519297e-05,-5.4403805266632334e-05,0.0002297689053993241
arxiv_qbio_titles,case,-5.19923545160573e-05,0.00013955548669906053,-0.00032552110844621593,0.00022153639941410134
arxiv_qbio_titles,cc,5.936886585887653e-05,0.0004093179816195297,-0.0007428943781154017,0.0008616321098331548
arxiv_qbio_titles,ccomp,0.00013231818627800352,8.628718654560921e-05,-3.680469935139053e-05,0.0003014410719073976
