feature,family,all_four_estimable,same_direction,all_four_q_lt_05,min_abs_standardized_effect,mean_abs_standardized_effect,is_group_aggregate,manuscript_group,selected,selection_reason
smog_index,readability,True,True,False,0.1768042658431074,1.7759458549867406,False,Readability,False,not selected
summary_marker_in_summary_per_1k_words,summary_markers,True,True,False,0.1755527888800728,0.34727897329330354,False,Rhetorical stance,False,not selected
adjective_crucial_per_1k_words,adjectives,True,False,False,0.1605982379203533,0.6816500307449864,False,Lexical markers,False,not selected
summary_marker_overall_per_1k_words,summary_markers,True,False,False,0.1569768502270676,0.3403768651725966,False,Rhetorical stance,False,not selected
causal_marker_consequently_per_1k_words,causal_markers,True,True,False,0.1456987859787285,0.39188870740858583,False,Rhetorical stance,False,not selected
marker_phrases_total_per_1k_words,phrases,True,False,False,0.1430727490000094,0.34728746661427345,True,Lexical markers,False,not selected
emphasis_marker_notably_per_1k_words,emphasis_markers,True,False,False,0.1386000139705908,0.41240966271086665,False,Rhetorical stance,False,not selected
word_notably_per_1k_words,marker_words,True,False,False,0.1386000139705908,0.41240966271086665,False,Lexical markers,False,not selected
marker_adjectives_total_per_1k_words,adjectives,True,False,False,0.1379295756758815,0.6511574975568907,True,Lexical markers,False,not selected
verb_garner_per_1k_words,verbs,True,False,False,0.1277617752642362,0.5795612255921876,False,Lexical markers,False,not selected
phrase_deep_dive_per_1k_words,phrases,True,False,False,0.1259235583163062,0.2959452128243603,False,Lexical markers,False,not selected
dependency_length_std,syntax,True,False,False,0.117100317898543,0.452930636601594,False,Syntax,False,not selected
word_insight_per_1k_words,marker_words,True,False,False,0.1136353116499981,0.3037516754599453,False,Lexical markers,False,not selected
summary_marker_collectively_per_1k_words,summary_markers,True,False,False,0.1112713169167437,0.31727601863058463,False,Rhetorical stance,False,not selected
word_meticulously_per_1k_words,marker_words,True,False,False,0.098428263269233,0.761266017754451,False,Lexical markers,False,not selected
emphasis_marker_importantly_per_1k_words,emphasis_markers,True,False,False,0.0945611274470786,0.24358904076482824,False,Rhetorical stance,False,not selected
causal_marker_thereby_per_1k_words,causal_markers,True,True,False,0.092991904175756,0.8421279823328752,False,Rhetorical stance,False,not selected
semicolon_per_1k_words,punctuation,True,True,False,0.0871368178093515,0.6444643933336676,False,Punctuation,False,not selected
colon_per_1k_words,punctuation,True,True,False,0.0764702942900696,1.1553031908284828,False,Punctuation,False,not selected
adjective_potential_per_1k_words,adjectives,True,False,False,0.0758992173623256,0.5243174874234289,False,Lexical markers,False,not selected
contrast_marker_nonetheless_per_1k_words,contrast_markers,True,True,False,0.0736577333350118,0.33341200311906855,False,Rhetorical stance,False,not selected
contrast_marker_alternatively_per_1k_words,contrast_markers,True,False,False,0.0705702895867387,0.18636078770156414,False,Rhetorical stance,False,not selected
