feature,family,arxiv_ai_abstracts,arxiv_ai_titles,arxiv_qbio_abstracts,arxiv_qbio_titles,arxiv_stat_abstracts,arxiv_stat_titles,medarxiv_abstracts,medarxiv_titles
summary_marker_in_summary_per_1k_words,summary_markers,-0.2489599181222511,,-0.2449205617253055,,-0.1755527888800728,,-0.7196826244455847,
summary_marker_overall_per_1k_words,summary_markers,0.4439897556984145,-0.3611422015687706,0.1569768502270676,-0.0602617481946905,0.5296845859987093,-0.0047695517494439,-0.2308562687661947,-0.1730768288966561
summary_marker_taken_together_per_1k_words,summary_markers,0.6871735031827205,,0.0579984617629737,,0.4576550776398858,,-0.3746449092012912,
summary_marker_ultimately_per_1k_words,summary_markers,0.1481370877201486,0.0032434670077138,0.1824801786080946,-0.0426838712348295,-0.1219496684807583,-0.0367633287027035,-0.0514170510650355,
avg_words_per_sentence,syntax,0.7884682182893819,0.1807208415233965,0.0341184485807217,0.19844819745852,-0.1712039355341089,0.2035981859970412,-0.9178394584619828,-0.9963535266087634
clause_depth,syntax,-2.13434199950914,-0.1055447848654195,-1.3095539952944553,-0.3311784986907828,-1.6918892016673155,-0.1414462786211818,-1.8792523401789012,-1.4472090327142866
clause_depth_std,syntax,-1.9270922070276029,0.1900582709449022,-1.122670343881046,0.0185681898637642,-1.4172543159076108,0.1155800288791612,-1.912301145318624,-0.594809424233124
coordination_count,syntax,0.5747054744946978,0.1028536204022222,0.3534816482284473,-0.025065567403097,0.9241012552531112,0.205916272651999,-0.5936797188619327,-0.889168526760519
coordination_per_sentence_std,syntax,0.8292322167391409,0.215716306344723,-0.1964695279379827,0.1106190904858954,0.5643184349152015,-0.1440357063050032,-1.2903863616385916,-0.157296211788774
dependency_entropy,syntax,-0.5259673903307276,0.0441297376163536,-0.4788113651247592,0.1256075489311209,-0.4137856761157044,0.1585880845937486,-0.6587552318332985,-0.556346014972416
dependency_length,syntax,2.204313359736357,0.2578624458422284,1.201401744295481,0.2121383803581832,0.9645332966346244,0.4001373321267005,-0.1984880348733134,-0.9082953094313954
dependency_length_std,syntax,1.0655658029366402,0.1428897537844146,0.117100317898543,0.0260984128248669,0.2310371234372892,0.2875869919702777,-0.3980193021339036,-0.3329375860699043
list_of_three_per_1k_words,syntax,2.688280756695064,0.0608488325418166,1.1403583394697163,0.108542837098562,1.603587241878374,0.0283311009131875,0.54844650022222,0.0184732286450473
sentence_depth_std,syntax,-1.9270922070276029,0.1900582709449022,-1.122670343881046,0.0185681898637642,-1.4172543159076108,0.1155800288791612,-1.912301145318624,-0.594809424233124
marker_verbs_total_per_1k_words,verbs,1.747387315303205,0.4856292141160122,1.4320198752699818,-0.1252694684303681,1.4541141123708472,0.3765278830293351,2.887327434166122,0.2294274625407497
verb_align_per_1k_words,verbs,3.1374793331590545,1.2309863949825297,1.5106365630781025,0.2094956444667209,1.9221409595928765,0.2461912808575744,2.71180829654342,0.3176674190480213
verb_delve_per_1k_words,verbs,-5.5170553459850655,-0.1078747671217194,-2.5291226078587266,,-2.430993592035188,0.2054713028016894,-3.197816419035334,
verb_enhance_per_1k_words,verbs,0.9414971951606714,0.1595849858767192,0.9623183663829332,-0.2552150651517815,1.303029024788488,0.3280293178092243,1.4686252548628125,0.1963403773399102
verb_exhibit_per_1k_words,verbs,2.1854281587407822,0.0697143056019723,0.7595962630500097,0.1396419830074884,0.9468989937967552,-0.3680427880664546,1.368884269022727,0.1061646333441082
verb_foster_per_1k_words,verbs,-0.0691483654871057,-0.0273612101380746,-0.0861287731463199,-0.41944248169398,-0.3744129938310455,-0.1859376997476627,0.2417567282134961,-0.2603019622059984
verb_garner_per_1k_words,verbs,-1.2568889885393912,,-0.3780988253540076,,-0.5554953132111152,,0.1277617752642362,
verb_showcase_per_1k_words,verbs,-1.957511869175531,-0.3186073881553564,-0.7037290227209385,,-1.2326283903265718,,-0.3806339802027914,
verb_underscore_per_1k_words,verbs,4.252396750617382,,1.4641265646946977,,2.83571274969404,,4.528163061706501,-0.1978579930256339
