dataset,feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,standardized_slope_change_per_year,standardized_slope_change_per_year_se,standardized_slope_change_per_year_ci_low,standardized_slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,slope_change_q,level_shift_q
arxiv_ai_titles,coordination_count,syntax,2022-11-30,136,95,41,0.2237085367137909,0.2555333763132021,0.0204999554483743,0.0004019689819941,0.0048236277839301,0.0024530773160309,0.0033889997852321,-0.004189362263024,0.0090955168950859,0.4691669201286311,0.0001757078863291,0.0021084946359495,0.0001798163291886,0.0021577959502643,-0.0021207854265685,0.0063377746984676,0.1028536204022222,0.105258567790471,-0.103453172467101,0.3091604132715455,0.328493905561651,0.0005776768683233,0.0069321224198797,0.6729451975771753,monthly_segmented_wls_hac,6,0.3649932284018344,0.6595494459124498
arxiv_qbio_abstracts,coordination_count,syntax,2022-11-30,136,95,41,6.034849204917519,6.851466559514599,0.3974052513118266,0.0114960275934026,0.1379523311208319,-0.212923958610542,0.1059106490906518,-0.4205088308282196,-0.0053390863928644,0.0443876825932978,0.0117062886040287,0.1404754632483448,0.0037086015821813,0.0445032189861759,0.0532491540354398,0.2277017724612497,0.3534816482284473,0.111984476398517,0.1339920744873539,0.5729712219695408,0.0015966193895192,0.0232023161974313,0.2784277943691767,0.8295692347434972,monthly_segmented_wls_hac,6,0.0022808848421702,0.0887753651865957
arxiv_qbio_titles,coordination_count,syntax,2022-11-30,136,95,41,0.3651549242604592,0.3549166360180076,0.0391766171343037,8.55774674532439e-05,0.0010269296094389,-0.0163566904618107,0.0129471141668938,-0.0417330342289227,0.0090196533053011,0.2064647070427432,-8.183201145043489e-05,-0.0009819841374052,0.0002956679423642,0.0035480153083715,-0.0079360941418134,0.005972125867003,-0.025065567403097,0.0905646165468647,-0.2025722158349519,0.1524410810287578,0.7819567310331654,3.745456002809012e-06,4.494547203370814e-05,0.0335219078692353,monthly_segmented_wls_hac,6,0.8678463831392171,0.2949495814896332
arxiv_stat_abstracts,coordination_count,syntax,2022-11-30,136,95,41,5.052000584028209,5.611728104653806,0.242477160773093,0.0073498085266555,0.0881977023198666,-0.331069474433047,0.1022026515794768,-0.5313866715288217,-0.1307522773372723,0.0011980527825307,0.0186727873867188,0.2240734486406257,0.0040038232313538,0.0480458787762459,0.1299035262391837,0.3182433710420678,0.9241012552531112,0.1981459970211653,0.535735101091627,1.3124674094145954,3.105148543774997e-06,0.0260225959133743,0.3122711509604923,0.8327937261381518,monthly_segmented_wls_hac,6,6.210297087549994e-06,0.0083087311558674
arxiv_stat_titles,coordination_count,syntax,2022-11-30,136,95,41,0.2390875497635845,0.2604081348250813,0.0238815398284153,0.0002792790170513,0.0033513482046162,-0.0016002016271507,0.0075038337491383,-0.0163077157754618,0.0131073125211603,0.8311310269136836,0.0004097998055547,0.0049175976666575,0.0002588445054935,0.0031061340659222,-0.0011704251025501,0.0110056204358652,0.205916272651999,0.1300642290337775,-0.0490096162542049,0.460842161558203,0.1133783649412447,0.0006890788226061,0.0082689458712738,0.3064481807197529,monthly_segmented_wls_hac,6,0.2112645539482264,0.8311310269136836
medarxiv_abstracts,coordination_count,syntax,2022-11-30,83,42,41,11.745781239849206,13.01393250439181,0.7329300669763233,0.0650633603735647,0.780760324482777,-0.4016889868885762,0.1440726100936133,-0.6840713026720584,-0.1193066711050941,0.0053018013320223,-0.03626047634233,-0.4351257161079611,0.0097110432063438,0.1165325184761259,-0.663529452321168,-0.2067219798947542,-0.5936797188619327,0.1589954126958888,-0.9053107277458748,-0.2820487099779906,0.0001885055947862,0.0288028840312346,0.3456346083748158,0.8921670534109112,monthly_segmented_wls_hac,6,0.0003141759913103,0.0144624655080942
medarxiv_titles,coordination_count,syntax,2022-11-30,83,42,41,0.6511228234336592,0.6909928483320985,0.044672678389107,0.0036960708894519,0.0443528506734229,-0.0345967131376033,0.0159521025888145,-0.0658628342116799,-0.0033305920635267,0.0300988566547585,-0.003310128302474,-0.0397215396296887,0.0005668589822405,0.0068023077868867,-0.0530540628919868,-0.0263890163673906,-0.889168526760519,0.1522699787023618,-1.187617685017148,-0.59071936850389,5.2382515930935674e-09,0.0003859425869778,0.0046313110437341,0.62800786219641,monthly_segmented_wls_hac,6,1.3095628982733921e-08,0.1003295221825284
arxiv_ai_abstracts,coordination_per_sentence_std,syntax,2022-11-30,136,95,41,0.7635958371906618,0.7930941177511632,0.0164639055619921,0.000332892739203,0.0039947128704364,-0.01698675549391,0.009552489691437,-0.0357096352891265,0.0017361243013065,0.0753621048378493,0.0011377000754462,0.0136524009053546,0.000330688052334,0.0039682566280082,0.0058746179144584,0.0214301838962508,0.8292322167391409,0.2410276597534177,0.3568180036224421,1.30164642985584,0.0005808491963008,0.0014705928146492,0.017647113775791,0.7582993099668189,monthly_segmented_wls_hac,6,0.000726061495376,0.0906867335347288
arxiv_ai_titles,coordination_per_sentence_std,syntax,2022-11-30,136,95,41,0.0023380422800814,0.0040613354923794,0.0014056402518854,1.9626890215365705e-05,0.0002355226825843,2.6022763866884892e-05,0.0003191042208641,-0.0005994215090268,0.0006514670367606,0.9350050249021474,2.526829359884956e-05,0.0003032195231861,1.0764640984364243e-05,0.0001291756918123,5.003516723394774e-05,0.0005564038791384,0.215716306344723,0.0918981166334002,0.0355959977432585,0.3958366149461875,0.0189078919390801,4.489518381421526e-05,0.0005387422057705,0.4874863753429254,monthly_segmented_wls_hac,6,0.0378157838781602,0.9350050249021477
arxiv_qbio_abstracts,coordination_per_sentence_std,syntax,2022-11-30,136,95,41,0.8023322130664922,0.8210240225877047,0.0289279452834603,0.0004993744273275,0.0059924931279306,-0.0054617997960365,0.0088738333708288,-0.022854513202861,0.0119309136107879,0.5382278907498386,-0.0004736216461714,-0.0056834597540572,0.0002741123590592,0.0032893483087108,-0.0121305824391304,0.0007636629310159,-0.1964695279379827,0.1137083286240693,-0.4193378520411587,0.0263987961651931,0.084017340567405,2.5752781156120837e-05,0.0003090333738734,0.2620971034472544,monthly_segmented_wls_hac,6,0.1050216757092562,0.5980309897220428
arxiv_qbio_titles,coordination_per_sentence_std,syntax,2022-11-30,136,95,41,0.003416817838551,0.003392704355117,0.0031940802280276,9.972960482622958e-06,0.0001196755257914,-0.0013542433640984,0.0007793604719929,-0.0028817898892046,0.0001733031610077,0.0822753001030538,2.944385414694976e-05,0.0003533262497633,2.2830445045103163e-05,0.0002739653405412,-0.0001836458176974,0.0008902983172242,0.1106190904858954,0.0857728425658281,-0.0574956809431278,0.2787338619149187,0.197163524228944,3.941681462957271e-05,0.0004730017755548,0.0139840252719299,monthly_segmented_wls_hac,6,0.3286058737149067,0.2056882502576345
arxiv_stat_abstracts,coordination_per_sentence_std,syntax,2022-11-30,136,95,41,0.758524343879295,0.7778329037084043,0.0182820134738777,0.0002976117281438,0.003571340737726,-0.0182602109455413,0.009295289399015,-0.0364789781676107,-4.144372347192338e-05,0.0494769360068196,0.0008597397692231,0.0103168772306772,0.0003510130238413,0.0042121562860959,0.0020610509099292,0.0185727035514253,0.5643184349152015,0.2303989269078312,0.1127365381758522,1.0159003316545507,0.0143130133992707,0.0011573514973669,0.0138882179684033,0.4712251625903997,monthly_segmented_wls_hac,6,0.0178912667490884,0.0706813371525994
arxiv_stat_titles,coordination_per_sentence_std,syntax,2022-11-30,136,95,41,0.0018978326898853,0.002342004416242,0.0016368977214312,5.4018520498084175e-06,6.4822224597701e-05,0.0004257727204712,0.0005247048777798,-0.0006026488399772,0.0014541942809198,0.4171062589232456,-1.96476432879506e-05,-0.0002357717194554,1.4996247000723663e-05,0.0001799549640086,-0.0005884834489124,0.0001169400100016,-0.1440357063050032,0.1099365963142353,-0.3595114350809044,0.0714400224708979,0.1901380985534038,-1.424579123814218e-05,-0.0001709494948577,0.0211463608051618,monthly_segmented_wls_hac,6,0.2112645539482264,0.5958660841760651
medarxiv_abstracts,coordination_per_sentence_std,syntax,2022-11-30,83,42,41,0.9529991043921824,0.951105074035573,0.0268048716222503,0.0018938954115373,0.0227267449384485,-0.0152886299113638,0.0055399086808235,-0.026146850925778,-0.0044304088969497,0.0057849862032376,-0.0028823867305687,-0.0345886407668251,0.0003475753076479,0.0041709036917749,-0.0427636120027041,-0.0264136695309461,-1.2903863616385916,0.155602449829037,-1.5953671633035045,-0.9854055599736788,1.1057518976633243e-16,-0.0009884913190313,-0.0118618958283765,0.569434317323757,monthly_segmented_wls_hac,6,2.7643797441583113e-16,0.0144624655080942
medarxiv_titles,coordination_per_sentence_std,syntax,2022-11-30,83,42,41,0.0106647243578228,0.0080561314910781,0.0049382457150145,-1.2110345656689683e-05,-0.0001453241478802,-0.0001141151962048,0.001601095245739,-0.0032522618778534,0.0030240314854436,0.943180317048112,-6.47306119878277e-05,-0.0007767673438539,6.316494310885353e-05,0.0007579793173062,-0.0022624068057741,0.0007088721180663,-0.157296211788774,0.1534916164664785,-0.4581397800630719,0.1435473564855238,0.3054637059392861,-7.684095764451739e-05,-0.0009220914917342,0.1507533417395423,monthly_segmented_wls_hac,6,0.3394041177103179,0.943180317048112
arxiv_ai_abstracts,dependency_entropy,syntax,2022-11-30,136,95,41,2.7583225133779377,2.7712315585785707,0.0121794166988843,0.0003953662815369,0.0047443953784428,-0.0024934149079263,0.0014318664753285,-0.0052998731995702,0.0003130433837175,0.0816180601812559,-0.0005338313347385,-0.0064059760168627,4.658547462707093e-05,0.0005590256955248,-0.0075016663800914,-0.005310285653634,-0.5259673903307276,0.0458992174539899,-0.6159298565405479,-0.4360049241209073,2.115080024701867e-30,-0.0001384650532016,-0.0016615806384198,0.7752196432975056,monthly_segmented_wls_hac,6,5.2877000617546684e-30,0.0906867335347288
arxiv_ai_titles,dependency_entropy,syntax,2022-11-30,136,95,41,1.7333043837498827,1.8223907061533184,0.0329777096980812,0.0011248681972196,0.0134984183666359,0.0116481099634524,0.0048872194235021,0.0020691598933882,0.0212270600335166,0.0171543911083296,0.000121274806347,0.0014552976761646,0.000219950811266,0.0026394097351925,-0.0037179454048128,0.006628540757142,0.0441297376163536,0.0800361747179235,-0.1127411648307765,0.2010006400634837,0.5813784178177899,0.0012461430035667,0.0149537160428005,0.944576045844565,monthly_segmented_wls_hac,6,0.5813784178177899,0.1715439110832965
arxiv_qbio_abstracts,dependency_entropy,syntax,2022-11-30,136,95,41,2.737329005035659,2.7470675459108422,0.0134359546985362,0.0003330693496584,0.003996832195901,-0.0017566290582129,0.00365376695174,-0.0089180122836233,0.0054047541671974,0.630678511064908,-0.00053610731758,-0.0064332878109605,0.0001094265500206,0.0013131186002478,-0.0090070002674464,-0.0038595753544747,-0.4788113651247592,0.0977316930363672,-0.6703654834760389,-0.2872572467734794,9.620633843732656e-07,-0.0002030379679216,-0.0024364556150595,0.4692056118152822,monthly_segmented_wls_hac,6,1.9241267687465317e-06,0.630678511064908
arxiv_qbio_titles,dependency_entropy,syntax,2022-11-30,136,95,41,1.8317804183291675,1.8483062550487483,0.0243037466378543,0.0004562418876782,0.0054749026521385,-0.0212649071584943,0.0082242232823466,-0.0373843847918938,-0.0051454295250949,0.0097197483076048,0.0002543945037519,0.0030527340450238,0.0001392755416512,0.0016713064998144,-0.0002230266946123,0.00632849478466,0.1256075489311209,0.0687674425148611,-0.0091766383980069,0.2603917362602488,0.0677666324495629,0.0007106363914302,0.0085276366971624,0.3408525318848427,monthly_segmented_wls_hac,6,0.1694165811239074,0.0971974830760486
