feature,family,arxiv_ai_abstracts,arxiv_ai_titles,arxiv_qbio_abstracts,arxiv_qbio_titles,arxiv_stat_abstracts,arxiv_stat_titles,medarxiv_abstracts,medarxiv_titles,range,mean_abs_slope
verb_align_per_1k_words,verbs,3.1374793331590545,1.2309863949825297,1.5106365630781025,0.2094956444667209,1.9221409595928765,0.2461912808575744,2.71180829654342,0.3176674190480213,2.9279836886923336,1.4108007364660375
list_of_three_per_1k_words,syntax,2.688280756695064,0.0608488325418166,1.1403583394697163,0.108542837098562,1.603587241878374,0.0283311009131875,0.54844650022222,0.0184732286450473,2.6698075280500166,0.7746086046829985
verb_exhibit_per_1k_words,verbs,2.1854281587407822,0.0697143056019723,0.7595962630500097,0.1396419830074884,0.9468989937967552,-0.3680427880664546,1.368884269022727,0.1061646333441082,2.553470946807237,0.7430464243287873
emphasis_markers_total_per_1k_words,discourse_marker_totals,1.548487333762784,-0.0503873045361793,0.8348028351752352,-0.0520976942341546,1.002589684189218,-0.0758313000644079,2.466620252188673,0.1774332021280409,2.542451552253081,0.7760312007848366
emphasis_marker_particularly_per_1k_words,emphasis_markers,1.6165928327515533,-0.135608355297243,0.8208031609499314,-0.0520976942341546,1.4701585084555735,-0.0758313000644079,2.38008271014326,0.1981689614706643,2.515691065440503,0.8436679404208485
word_particularly_per_1k_words,marker_words,1.6165928327515533,-0.135608355297243,0.8208031609499314,-0.0520976942341546,1.4701585084555735,-0.0758313000644079,2.38008271014326,0.1981689614706643,2.515691065440503,0.8436679404208485
semicolon_per_1k_words,punctuation,1.622265469288777,0.0203183147280357,0.4138484761058238,-0.1761738799894655,0.4546068101307181,0.0712992323235747,0.0871368178093515,-0.6797079758197809,2.301973445108558,0.4406696220244409
colon_per_1k_words,punctuation,2.316462558340883,0.7951661753247522,1.152431061430613,0.7617610297642996,1.0758488492523657,0.5330507271427332,0.0764702942900696,1.4637008334389168,2.239992264050813,1.021861441123079
coordination_per_sentence_std,syntax,0.8292322167391409,0.215716306344723,-0.1964695279379827,0.1106190904858954,0.5643184349152015,-0.1440357063050032,-1.2903863616385916,-0.157296211788774,2.1196185783777324,0.43850923201941405
clause_depth_std,syntax,-1.9270922070276029,0.1900582709449022,-1.122670343881046,0.0185681898637642,-1.4172543159076108,0.1155800288791612,-1.912301145318624,-0.594809424233124,2.117150477972505,0.9122917407569794
sentence_depth_std,syntax,-1.9270922070276029,0.1900582709449022,-1.122670343881046,0.0185681898637642,-1.4172543159076108,0.1155800288791612,-1.912301145318624,-0.594809424233124,2.117150477972505,0.9122917407569794
hedge_ratio,other,-1.308222300060303,-0.0281383651473907,-0.560708494746351,-0.1362345364972896,-0.9803080502882142,0.2313364270836974,0.8056920853606008,0.4894106969267879,2.113914385420904,0.5675063695138294
phrase_intricate_interplay_per_1k_words,phrases,-0.0239247262392157,,-0.1297095163079519,,0.2366054029158669,,-1.860431242168419,,2.097036645084286,0.5626677219078634
clause_depth,syntax,-2.13434199950914,-0.1055447848654195,-1.3095539952944553,-0.3311784986907828,-1.6918892016673155,-0.1414462786211818,-1.8792523401789012,-1.4472090327142866,2.0287972146437205,1.1300520164426855
word_finding_per_1k_words,marker_words,1.8399269854817568,0.016956463874508,1.1654644754808714,0.1268542417552139,0.5968357397761891,0.0746030405695519,2.016636193396679,0.5235712668540002,1.999679729522171,0.7951060508985963
sequential_markers_total_per_1k_words,discourse_marker_totals,-1.8383244006386843,-0.0559658374027826,-1.0694635589829284,0.0658541982060953,-1.3283964116914018,-0.1205825273217555,-1.8403402203328565,-0.2520674947475903,1.9061944185389519,0.8213743311655118
causal_marker_thereby_per_1k_words,causal_markers,1.3007354037322876,-0.022825002916681,0.1888902668160087,-0.0309249923106864,1.7858943546074486,-0.0390256610497389,0.092991904175756,-0.0946882939531109,1.8805826485605595,0.4444969849452147
causal_markers_total_per_1k_words,discourse_marker_totals,-1.5702483806646068,0.2898773419209383,-0.7654088149215389,-0.0195997036582203,-0.41627684433235,-0.0390256610497389,-0.7090189753734949,0.055198804324577,1.8601257225855452,0.48308181578068315
adjective_potential_per_1k_words,adjectives,-1.3869177363865095,-0.2670176434913968,-0.4260419129133324,0.0647242941060206,-0.2084110830315481,-0.04282714733877,0.0758992173623256,0.4359348704886858,1.8228526068751953,0.3634717381398236
coordination_count,syntax,0.5747054744946978,0.1028536204022222,0.3534816482284473,-0.025065567403097,0.9241012552531112,0.205916272651999,-0.5936797188619327,-0.889168526760519,1.8132697820136303,0.4586215105070033
causal_marker_thus_per_1k_words,causal_markers,-1.687849930491565,0.1021914194561399,-0.6760023188856925,,-0.7753459046455248,,-0.6390335062698517,,1.790041349947705,0.7760846159497549
avg_words_per_sentence,syntax,0.7884682182893819,0.1807208415233965,0.0341184485807217,0.19844819745852,-0.1712039355341089,0.2035981859970412,-0.9178394584619828,-0.9963535266087634,1.7848217448981454,0.4363438515567395
marker_adjectives_total_per_1k_words,adjectives,-1.3040991179954189,-0.4107274277674482,-0.7004039507932305,0.0376173726050116,-0.4621973457630322,0.0218595734988879,0.1379295756758815,0.438714350161303,1.7428134681567218,0.4391935892825267
verb_enhance_per_1k_words,verbs,0.9414971951606714,0.1595849858767192,0.9623183663829332,-0.2552150651517815,1.303029024788488,0.3280293178092243,1.4686252548628125,0.1963403773399102,1.723840320014594,0.7018299484215675
word_realm_per_1k_words,marker_words,-1.903451080559038,-0.1812394939434767,-0.5749853252836266,,-0.7186238904467475,,-0.2713517662252242,,1.7222115866155612,0.7299303112916226
certainty_ratio,other,1.102803190166177,-0.2598080273499757,0.6459674620168439,-0.1207103088258641,0.7006991747729449,0.0221407865121498,1.3889408844959354,0.5842035160614449,1.648748911845911,0.603159168775167
verb_showcase_per_1k_words,verbs,-1.957511869175531,-0.3186073881553564,-0.7037290227209385,,-1.2326283903265718,,-0.3806339802027914,,1.6389044810201747,0.9186221301162378
word_additionally_per_1k_words,marker_words,-1.60131822585737,,-0.5958804634941708,,-0.8357437261622691,,-1.003845300335752,-0.0946882939531109,1.506629931904259,0.8262952019605345
sequential_marker_additionally_per_1k_words,sequential_markers,-1.60131822585737,,-0.5958804634941708,,-0.8357437261622691,,-1.003845300335752,-0.0946882939531109,1.506629931904259,0.8262952019605345
adjective_crucial_per_1k_words,adjectives,-1.2975614975775227,-0.1498572781612779,-0.6029918530270059,0.1812528811533413,-0.6654485344550639,0.0193052489402684,0.1605982379203533,-0.0519540024524329,1.478814378730864,0.3911211917109083
dependency_length_std,syntax,1.0655658029366402,0.1428897537844146,0.117100317898543,0.0260984128248669,0.2310371234372892,0.2875869919702777,-0.3980193021339036,-0.3329375860699043,1.4635851050705437,0.32515441138198
word_meticulously_per_1k_words,marker_words,-1.3333117959320084,,-1.0108484858909612,,-0.6024755259256013,,0.098428263269233,,1.4317400592012415,0.761266017754451
verb_garner_per_1k_words,verbs,-1.2568889885393912,,-0.3780988253540076,,-0.5554953132111152,,0.1277617752642362,,1.3846507638036274,0.5795612255921876
emphasis_marker_crucially_per_1k_words,emphasis_markers,1.9052034755334863,,0.6753463248885733,,0.6622332194926863,,0.569665943498743,,1.3355375320347433,0.9531122408533723
adjective_pivotal_per_1k_words,adjectives,-1.1692861338233418,-0.4362763275117845,-0.8258439625957956,-0.263201633475872,-0.2408671128796184,0.1152612185065482,-0.0149945717610336,-0.0419277662815614,1.28454735232989,0.3884573408544444
causal_marker_hence_per_1k_words,causal_markers,-1.2563721797229497,,-0.6448177729098324,0.0122116458553815,-0.6112643699595615,,-0.2849819668096447,,1.2685838255783313,0.561929587051474
word_within_per_1k_words,marker_words,0.8924993611978674,0.0309961324301962,0.5193149286302811,0.1156813529154934,1.0479695677424006,0.0160567492576781,0.2174645880529182,-0.1589198220421302,1.2068893897845308,0.37486281278362066
adjective_intricate_per_1k_words,adjectives,-1.2582590949300814,-0.0864825918048194,-0.7111094886022071,,-0.4538064392256643,,-0.4491395399139006,,1.171776503125262,0.5917594308953346
sequential_marker_further_per_1k_words,sequential_markers,-1.0951632045374555,-0.0559658374027826,-0.5877185583310428,0.0658541982060953,-0.3899637901485179,-0.1205825273217555,-0.4243042038039159,-0.2331462795168186,1.161017402743551,0.37158732490854796
summary_marker_taken_together_per_1k_words,summary_markers,0.6871735031827205,,0.0579984617629737,,0.4576550776398858,,-0.3746449092012912,,1.0618184123840118,0.3943679879467178
emphasis_marker_notably_per_1k_words,emphasis_markers,0.4518723894195713,,0.1966596700448851,,-0.1386000139705908,,0.8625065774084194,-0.0327313314827129,1.0011065913790103,0.3364739964652359
word_notably_per_1k_words,marker_words,0.4518723894195713,,0.1966596700448851,,-0.1386000139705908,,0.8625065774084194,-0.0327313314827129,1.0011065913790103,0.3364739964652359
sequential_marker_subsequently_per_1k_words,sequential_markers,-0.969383930608986,,-0.2880765272803192,,-0.4823444692340064,,-0.3313765908374098,0.0065497222791678,0.9759336528881538,0.41554624804797785
marker_phrases_total_per_1k_words,phrases,-0.2812439232563654,-0.2264387205089622,-0.1430727490000094,0.0019534837685377,0.2260800694862499,,-0.7387531247144691,,0.964833194200719,0.26959034512243224
sequential_marker_moreover_per_1k_words,sequential_markers,-1.5426928931915451,,-0.8098647018662967,,-1.1151637071203122,,-0.5898071257849616,,0.9528857674065835,1.0143821069907788
summary_marker_overall_per_1k_words,summary_markers,0.4439897556984145,-0.3611422015687706,0.1569768502270676,-0.0602617481946905,0.5296845859987093,-0.0047695517494439,-0.2308562687661947,-0.1730768288966561,0.8908267875674798,0.24509472388749343
summary_markers_total_per_1k_words,discourse_marker_totals,0.5328891778536639,-0.027755480723017,0.3657080767071193,0.0117260236467113,0.4823465743734086,0.0458013549779066,-0.3363402365896859,-0.1730768288966561,0.8692294144433498,0.2469554692210211
contrast_marker_nevertheless_per_1k_words,contrast_markers,-1.1343921661817828,,-0.2881998295240314,,-0.6529650492507528,,-0.2653026187474369,,0.869089547434346,0.585214915926001
phrase_deep_dive_per_1k_words,phrases,-0.5174311051396533,-0.2264387205089622,-0.2310651616036512,0.0019534837685377,0.1259235583163062,,0.3093610262378306,,0.826792131377484,0.23536217592915687
dependency_entropy,syntax,-0.5259673903307276,0.0441297376163536,-0.4788113651247592,0.1256075489311209,-0.4137856761157044,0.1585880845937486,-0.6587552318332985,-0.556346014972416,0.8173433164270472,0.37024888118976607
contrast_marker_nonetheless_per_1k_words,contrast_markers,-0.8592906958268581,,-0.0736577333350118,,-0.3114830224021797,,-0.0892165609122246,,0.7856329624918463,0.33341200311906855
word_insight_per_1k_words,marker_words,0.54351088632793,0.2168615494999496,0.164767391094507,0.2988198873765343,0.3930931127673461,-0.0567699563641995,-0.1136353116499981,0.6509803850235387,0.7646156966735368,0.3048048100130004
causal_marker_consequently_per_1k_words,causal_markers,-0.6648334713037067,,-0.3177628598263922,,-0.1456987859787285,,-0.439259712525516,0.0732380235270772,0.7380714948307839,0.32815857063228415
verb_foster_per_1k_words,verbs,-0.0691483654871057,-0.0273612101380746,-0.0861287731463199,-0.41944248169398,-0.3744129938310455,-0.1859376997476627,0.2417567282134961,-0.2603019622059984,0.6611992099074762,0.20806127680796038
summary_marker_collectively_per_1k_words,summary_markers,0.3017732639602453,0.0798859249311141,0.5106222445798818,0.0538310555880441,-0.1112713169167437,,0.3454372490654676,,0.6218935614966256,0.23380350917358275
emphasis_marker_importantly_per_1k_words,emphasis_markers,-0.2911211147603288,,-0.0945611274470786,,-0.3460276729004391,,0.2426462479514664,,0.5886739208519055,0.24358904076482824
causal_marker_accordingly_per_1k_words,causal_markers,-0.4306952728962841,,-0.0618131136736847,,-0.183976132851501,,0.127698621329836,,0.5583938942261202,0.20104578518782645
summary_marker_in_summary_per_1k_words,summary_markers,-0.2489599181222511,,-0.2449205617253055,,-0.1755527888800728,,-0.7196826244455847,,0.544129835565512,0.3472789732933035
sequential_marker_furthermore_per_1k_words,sequential_markers,-0.8663534926238794,,-0.5281376596123875,,-0.7647537059567983,,-1.055496527661664,,0.5273588680492765,0.8036853464636822
adjective_comprehensive_per_1k_words,adjectives,-0.1985849786839601,-0.2851543579559555,-0.0674639106439795,-0.0501728905541459,-0.0697851116668748,0.0547786995019937,0.1499806442305554,0.2089958832758311,0.49415024123178664,0.13561455956416202
contrast_marker_conversely_per_1k_words,contrast_markers,0.3439323190471646,,0.0238877180749938,,0.0114072550395987,,-0.0731368998454117,,0.4170692188925763,0.1130910480017922
contrast_marker_alternatively_per_1k_words,contrast_markers,-0.2915341627789042,,-0.1966134673827514,,-0.1867252310578622,,0.0705702895867387,,0.3621044523656429,0.18636078770156414
word_interplay_per_1k_words,marker_words,0.0274726475180832,-0.1536614012363183,0.1907326804581023,-0.0464900826790899,-0.0639823499491036,-0.0357414083413995,0.1387774131556842,-0.0622950293478541,0.3443940816944206,0.08989412658570439
summary_marker_ultimately_per_1k_words,summary_markers,0.1481370877201486,0.0032434670077138,0.1824801786080946,-0.0426838712348295,-0.1219496684807583,-0.0367633287027035,-0.0514170510650355,,0.3044298470888529,0.08381066468846912
contrast_markers_total_per_1k_words,discourse_marker_totals,-1.0867362549145507,,-0.786055631606174,,-0.805256226153616,,-0.8181662863511548,,0.30068062330837675,0.8740535997563739
