model_spec,outcome,feature,family,standardized_coefficient,bootstrap_ci_low,bootstrap_ci_high,bootstrap_selection_frequency,grouped_permutation_mse_increase,alpha,l1_ratio,grouped_cv_r2,n_documents
total_association,ari_complexity,dep_bigram__ROOT->advcl,dependency bigram,0.02201248438541576,0.020060837558774466,0.023994900277146156,1.0,0.0012701677492737986,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__compound->amod,dependency bigram,0.08536396725694675,0.08349256462272299,0.08710775500548018,1.0,0.01545140833162841,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__compound->compound,dependency bigram,0.057586549016656725,0.05549969983263802,0.060030550379107456,1.0,0.007113547814413019,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__pobj->conj,dependency bigram,0.07112428336953318,0.06763687340497183,0.07514006981808205,1.0,0.010793024097462245,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__prep->pcomp,dependency bigram,0.04077513635535186,0.03793128058628575,0.0442501503538836,1.0,0.0033218283463209183,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__conj->amod,dependency bigram,0.1132642123951847,0.11145295350187902,0.11477195962420501,1.0,0.026872870588058352,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__relcl->nsubj,dependency bigram,0.07264259330739882,0.07118227170654515,0.07473906215580277,1.0,0.010760992433988264,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__pobj->cc,dependency bigram,-0.022034830029322654,-0.026101712105901162,-0.019458018879397892,1.0,0.0009933109431373266,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__conj->prep,dependency bigram,0.0,0.0,0.0007191566141102438,0.16,-9.380994921825981e-06,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__pcomp->dobj,dependency bigram,0.05174650300847839,0.04797221795924452,0.054778798835201634,1.0,0.005429201695798387,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__conj->dobj,dependency bigram,0.07723651021415902,0.07538428067150993,0.079257173935843,1.0,0.012474001197264063,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__nsubj->compound,dependency bigram,0.028576892422305808,0.02599539449502297,0.03050402528578911,1.0,0.00200188955502969,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__ccomp->nsubj,dependency bigram,0.036565043664937597,0.033517827394125836,0.03960307264035405,1.0,0.0027624890441397335,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__ROOT->conj,dependency bigram,-0.003930896445973754,-0.007658521772907943,-0.0,0.88,6.305713374614276e-05,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__conj->compound,dependency bigram,0.06848230968646958,0.06630582714726457,0.07052243902499909,1.0,0.010233164079666514,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__amod->npadvmod,dependency bigram,0.10063940761886599,0.09892447575072336,0.1028084310464363,1.0,0.02160277472558028,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__xcomp->aux,dependency bigram,-0.026555886410107064,-0.028825859431597805,-0.02359352906447384,1.0,0.0016704425782561483,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__ROOT->ccomp,dependency bigram,-0.03082269279983382,-0.03429972363050423,-0.02677293396163028,1.0,0.0021566506937002973,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__nsubj->prep,dependency bigram,0.005902935690521797,0.004603618702234658,0.008011131415750007,1.0,7.426083914726433e-05,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__xcomp->dobj,dependency bigram,0.0018514855188766896,0.0,0.004130766714235489,0.88,-1.9666245826055595e-07,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__ROOT->auxpass,dependency bigram,-0.2542328440949971,-0.26277271955421183,-0.24976983018336354,1.0,0.13191874525122116,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__ROOT->nsubjpass,dependency bigram,-0.08200095886732724,-0.08663332491862127,-0.07437562445227139,1.0,0.014468576565911224,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__amod->advmod,dependency bigram,0.035048850965830186,0.0328239222591081,0.036777383749818635,1.0,0.0026892321300470367,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__ROOT->cc,dependency bigram,-0.020896040100821456,-0.025584292500201892,-0.016865693957214517,1.0,0.0009155564757633572,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,fkgl_complexity,dep_bigram__prep->pobj,dependency bigram,-0.022683511211708803,-0.027002310609096615,-0.01839216636502574,1.0,0.001202822863772206,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__pobj->amod,dependency bigram,0.23814324754149482,0.235733431027515,0.24113945768215553,1.0,0.11480113923311064,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__dobj->amod,dependency bigram,0.17961786782729877,0.1772244708176367,0.18163421704307534,1.0,0.06553079130648723,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__pobj->det,dependency bigram,-0.01709581646469984,-0.019859913876354912,-0.014889997152640283,1.0,0.0007388777630150934,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__ROOT->nsubj,dependency bigram,-0.43018566879955034,-0.43349252199652943,-0.42681260981708846,1.0,0.37102405241435343,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__pobj->compound,dependency bigram,0.08227731216744395,0.07949957565899192,0.08495644801853354,1.0,0.013914491882159229,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__dobj->det,dependency bigram,-0.01843175744258383,-0.020845288246958034,-0.016149624685801285,1.0,0.0008829715885584832,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__dobj->prep,dependency bigram,0.05605039707656532,0.05349636950074799,0.05887694752180129,1.0,0.006400567558964982,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__pobj->prep,dependency bigram,0.08038098689164679,0.077237186955299,0.08405094881947921,1.0,0.011569370768121211,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__ROOT->dobj,dependency bigram,-0.05121814347292132,-0.054087927745767816,-0.04817773974797115,1.0,0.0049267220379236865,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__ROOT->prep,dependency bigram,-0.09196404972881472,-0.09438473499468478,-0.0898761105450511,1.0,0.01768836124236105,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__dobj->compound,dependency bigram,0.04543074947620409,0.043287678566692384,0.04818632388628926,1.0,0.0048044969354608565,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__nsubj->amod,dependency bigram,0.09060080185026873,0.08894921401233029,0.0928898024316501,1.0,0.017300991698038837,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__nsubj->det,dependency bigram,0.0,-0.000263293804931475,0.0003180839732192687,0.12,-2.0936432075666645e-05,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__ROOT->advmod,dependency bigram,0.010918079386988924,0.00892880915464526,0.012944256754209191,1.0,0.0002436688700903389,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__advcl->dobj,dependency bigram,0.09048974028065537,0.08750337386974726,0.09317687055330841,1.0,0.016954267625550603,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__ROOT->advcl,dependency bigram,0.027600658659536016,0.024712128947971767,0.03026262283359673,1.0,0.0019364388270878986,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__compound->amod,dependency bigram,0.07181155277457223,0.0702589329860967,0.07367336153059807,1.0,0.01091952164486771,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__compound->compound,dependency bigram,0.05163773306895971,0.04974591271794731,0.05396217827190374,1.0,0.005623691326326203,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__pobj->conj,dependency bigram,0.07462759371535331,0.07202471045381362,0.07890161042353874,1.0,0.011748132084220151,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__prep->pcomp,dependency bigram,0.060623964609119764,0.057798402851001844,0.06387488913311809,1.0,0.0073005157636319,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__conj->amod,dependency bigram,0.1182540307169444,0.11595034246508355,0.11986675795985532,1.0,0.029040280062480876,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__relcl->nsubj,dependency bigram,0.07425991953173408,0.07323048120046631,0.0764894359946511,1.0,0.01111931311111534,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__pobj->cc,dependency bigram,-0.014589985076872583,-0.018906982655186068,-0.011439226498161417,1.0,0.000414991820132129,0.012315309497685731,0.1,0.3899431927669056,638937
total_association,fkgl_complexity,dep_bigram__conj->prep,dependency bigram,0.009544867942655483,0.007653647148578412,0.011298620483736222,1.0,0.00020232229871809172,0.012315309497685731,0.1,0.3899431927669056,638937
