model_spec,outcome,feature,family,standardized_coefficient,bootstrap_ci_low,bootstrap_ci_high,bootstrap_selection_frequency,grouped_permutation_mse_increase,alpha,l1_ratio,grouped_cv_r2,n_documents,mean_standardized_its_change,mean_abs_standardized_its_change,its_valid_corpora,its_positive_share,alignment_score,abs_alignment_score,complexity_aligned
total_association,ari_complexity,dep_role__prep,dependency role,-0.030854401781277355,-0.035091570755990904,-0.023769308445548146,1.0,0.0021808795003721215,0.011993918904249846,0.1,0.5601689097439704,638937,-2.2124281890045525,2.2124281890045525,4,0.0,0.0682631482557703,0.0682631482557703,True
total_association,fkgl_complexity,dep_bigram__dobj->det,dependency bigram,-0.04246964491042795,-0.04618145461074497,-0.03908782278393812,1.0,0.003956588301718775,0.007283626068607816,0.1,0.5091369311810263,638937,-1.5598562704170649,1.7259458649329262,4,0.25,0.06624654191591722,0.06624654191591722,True
beyond_formula,readability_composite,dep_role__attr,dependency role,-0.04763511238412934,-0.04934156206031243,-0.04573033142753456,1.0,0.004786750429365864,0.0012705933309520442,0.5,0.801219416701403,638937,-1.3174281294712762,1.3174281294712762,4,0.0,0.06275583700537754,0.06275583700537754,True
beyond_formula,readability_composite,dep_role__dobj,dependency role,0.04318023931816396,0.03977632783187027,0.048152924647395394,1.0,0.0039330019185362265,0.0012705933309520442,0.5,0.801219416701403,638937,1.4493223905608925,1.4493223905608925,4,1.0,0.06258208767359284,0.06258208767359284,True
total_association,readability_composite,dep_bigram__pobj->prep,dependency bigram,0.03491848498090954,0.03187107047006315,0.03658422823641645,1.0,0.0017113579209452646,0.010910352217419357,0.1,0.5454019506465443,638937,-1.7858361179987963,1.7858361179987963,4,0.0,-0.06235869166470676,0.06235869166470676,False
total_association,ari_complexity,dep_role__nsubj,dependency role,-0.055154894193879436,-0.05984995964276457,-0.04813643358864575,1.0,0.006013742252066826,0.011993918904249846,0.1,0.5601689097439704,638937,1.121973872258537,1.121973872258537,4,1.0,-0.06188235021271681,0.06188235021271681,False
total_association,readability_composite,dep_bigram__ROOT->nsubj,dependency bigram,-0.08448490999454575,-0.10469929798080188,-0.044204082501169285,1.0,0.013018380332327929,0.010910352217419357,0.1,0.5454019506465443,638937,0.7084043346032156,0.7084043346032156,4,1.0,-0.059849476448698744,0.059849476448698744,False
total_association,readability_composite,dep_bigram__nsubj->amod,dependency bigram,0.0367370318768329,0.03462661923037726,0.03829435740909859,1.0,0.003117985279735458,0.010910352217419357,0.1,0.5454019506465443,638937,1.6262723183474912,1.6262723183474912,4,1.0,0.05974441799954273,0.05974441799954273,True
total_association,fkgl_complexity,dependency_length,syntax,0.057135348402266375,0.0282165187062049,0.07548048462207986,1.0,0.007022096320249033,0.007283626068607816,0.1,0.5091369311810263,638937,1.0429400914501046,1.142184108881759,4,0.75,0.05958874548769328,0.05958874548769328,True
beyond_formula,readability_composite,dep_role__prep,dependency role,-0.02688321089907736,-0.03191532407014809,-0.0218501833494142,1.0,0.0014510578950401266,0.0012705933309520442,0.5,0.801219416701403,638937,-2.2124281890045525,2.2124281890045525,4,0.0,0.05947717360407317,0.05947717360407317,True
